Rank,"Song Title",Streams,Daily
1,"This Town",1197438320,326535
2,"Slow Hands",1070822974,160378
3,"What A Time",885499134,190200
4,"Too Much To Ask",532533364,51466
5,"Nice To Meet Ya",372379177,47103
6,"Moral of the Story (feat. Niall Horan) (Bonus Track)",349080548,50657
7,"Put A Little Love On Me",324393325,58511
8,Heaven,312385593,107585
9,"Black And White",298487200,41664
10,"Our Song",276131769,58944
11,"No Judgement",207637036,18578
12,"Seeing Blind",179247707,25503
13,Flicker,161116483,28968
14,"On The Loose",117809921,19786
15,Meltdown,93029833,26093
16,Still,88070650,30662
17,"Heartbreak Weather",82320000,34882
18,"Slow Hands - Acoustic",77108723,7852
19,"Fool's Gold - Recorded At RAK Studios, London",67834025,8406
20,"Small Talk",63963191,30373
21,"Paper Houses",63600673,9619
22,Mirrors,55612366,12585
23,Everywhere,53596076,21504
24,"The Show",49501161,24551
25,"Too Much To Ask - Acoustic",43343795,5932
26,"Dear Patience",42489465,11725
27,"Finally Free - From ""Smallfoot""",42475598,6430
28,"Since We're Alone",42432149,9815
29,"Fire Away",39007269,6990
30,"Cross Your Mind",39004456,17043
31,"Everywhere (BBC Children In Need)",37840582,5676
32,"On My Own",37311004,6820
33,"Arms Of A Stranger",35066980,9110
34,"You And Me",34759491,6031
35,"Must Be Love",34735988,40539
36,"San Francisco",32020487,9340
37,"Bend The Rules",31883755,11498
38,"The Tide",31812815,5154
39,"New Angel",29796449,9417
40,"You Could Start A Cult (with Lizzy McAlpine)",26185230,14828
41,"If You Leave Me",25512587,18736
42,Science,23739588,13721
43,"Lover - Recorded at Air Studios, London",22957242,4409
44,"Never Grow Up",22171972,13379
45,"You Could Start A Cult",22131889,8763
46,"This Town - Tiёsto Remix",21976398,797
47,"Drive Safe",21975136,303468
48,"Save My Life",21018982,25028
49,"On A Night Like Tonight",20395960,9900
50,"Nice To Meet Ya - Diplo Remix",17261998,1348
51,"So Long feat. The RTÉ Concert Orchestra - Live",14651868,3737
52,"So Long - Live",14641261,3089
53,"Slow Hands - Basic Tape Remix",14373283,1194
54,"Black And White - Stripped",13879850,3091
55,"Heaven - Acoustic",10765064,2345
56,"Something In The Orange - Live From Spotify Studios",10577491,7091
57,"On The Loose - Alternate Version",10347888,758
58,"This Town - Live, 1 Mic 1 Take",9945190,1004
59,"Flicker feat. The RTÉ Concert Orchestra - Live",8169224,951
60,"Flicker - Live",8166336,845
61,"This Town feat. The RTÉ Concert Orchestra - Live",8008179,925
62,"This Town - Live",8005535,926
63,"Our Song - Acoustic",7687591,5811
64,"Too Much To Ask - Recorded At RAK Studios, London",6790103,416
65,"Paper Houses feat. The RTÉ Concert Orchestra - Live",6760187,698
66,"Paper Houses - Live",6758130,613
67,"On The Loose - Basic Tape Remix",6713533,265
68,"The Tide feat. The RTÉ Concert Orchestra - Live",6004415,623
69,"The Tide - Live",6002669,655
70,"Old Tricks",5947567,18531
71,"The Show (with John Legend)",5819683,1978
72,"You And Me feat. The RTÉ Concert Orchestra - Live",5402550,522
73,"You And Me - Live",5401111,492
74,"On The Loose - Acoustic",5375808,618
75,"No Judgement - Acoustic",5057534,955
76,"Too Much To Ask - Cedric Gervais Remix",4916902,188
77,"If You Leave Me / Everybody Wants To Rule The World - Live From Electric Picnic",4548552,4881
78,"Our Song - Luca Schreiner Remix",3771245,340
79,"Nice To Meet Ya - Stripped",3670644,962
80,Dress,3462434,6562
81,"Meltdown - Acoustic",3316209,1284
82,"Dinner Party",3292633,506601
83,Nothing,3242690,7390
84,"You Could Start A Cult - Live from Spotify Studios",2863455,1459
85,"Too Much To Ask feat. The RTÉ Concert Orchestra - Live",2768827,550
86,"Fire Away feat. The RTÉ Concert Orchestra - Live",2741568,496
87,"No Judgement - Steve Void Remix",2425753,100
88,"Slow Hands - Jay Pryor Remix",2392981,154
89,"Seeing Blind feat. The RTÉ Concert Orchestra - Live",2365829,431
90,"This Town - Cheat Codes Remix",2184428,93
91,"Small Talk - Live From Madison Square Garden",1956210,1521
92,"No Judgement - Recorded Live at Air Studios, London",1954427,799
93,"Black And White - Oliver Nelson Remix",1817678,86
94,"On The Loose - slenderbodies Remix",1757323,93
95,"Science - Live From Spotify Studios",1562487,892
96,"This Town - GOLDHOUSE Remix",1519488,68
97,"Heaven - Live From Madison Square Garden",1469071,1341
98,"Too Much To Ask - TRU Concept Remix",1289366,173
99,"This Town - Live From Madison Square Garden",1165667,1229
100,"This Town - Live from Spotify Studios",1120901,512
101,"Meltdown - Stripped",1076212,759
102,"Still - Live From Madison Square Garden",1023464,1102
103,"This Town - Nikö Blank Remix",992014,252
104,"Our Song - Just Kiddin Remix",904343,144
105,"This Town - Cabo San Remix",900157,60
106,"Slow Hands - Live From Madison Square Garden",870386,957
107,"Heaven - Live from Spotify Studios",852999,557
108,"Black And White - Live From Madison Square Garden",836280,913
109,"On A Night Like Tonight - Live From Madison Square Garden",822456,878
110,"Small Talk - Live at the Royal Albert Hall",818029,1029
111,"Heaven - Live From Electric Picnic",815907,555
112,"Science - Live From Madison Square Garden",792641,817
113,"If You Leave Me - Live From Madison Square Garden",773782,883
114,"San Francisco - Live From Madison Square Garden",758808,837
115,"The Show - Live from Spotify Studios",746379,390
116,"Save My Life - Live from Electric Picnic",729060,547
117,"Our Song - Moka Nola Remix",727102,70
118,"On A Night Like Tonight - Live",709910,521
119,"Black And White - Live from Spotify Studios",651332,399
120,"Slow Hands - Live from Spotify Studios",650742,349
121,"Nice To Meet Ya - Live From Łódź",645101,625
122,"Flicker - Live from Spotify Studios",624721,374
123,"On A Night Like Tonight - Live from Spotify Studios",563588,364
124,"Heartbreak Weather - Live From Dublin",531259,622
125,"Put A Little Love On Me - Live From Paris",521919,544
126,"On The Loose - Live From Dusseldorf",503664,544
127,"Cross Your Mind - Live From Milan",498398,583
128,"Meltdown - Live from Spotify Studios",480475,347
129,"Dear Patience - Live at the Royal Albert Hall",470470,1067
130,"You Could Start A Cult - Live From Tokyo",461783,528
131,"Put A Little Love On Me - Live from Vevo",429164,816
132,"Flicker - Live From London",403604,530
133,"Dear Patience - Live From Melbourne",390120,526
134,"Save My Life - Live From Tampa",375263,523
135,"Paper Houses - Live From Oslo",365829,518
