Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.860.743.715,1.194.324
2,Watermelon Sugar,3.000.139.670,653.267
3,Adore You,1.861.989.599,402.385
4,Sign of the Times,1.773.674.234,807.904
5,Falling,1.384.833.030,454.212
6,Late Night Talking,1.077.054.018,281.183
7,Golden,981.928.424,189.990
8,Lights Up,712.348.714,78.294
9,Sweet Creature,641.394.357,147.519
10,Matilda,612.657.092,365.233
11,Fine Line,609.258.951,370.337
12,Kiwi,567.564.828,119.708
13,Satellite,519.318.433,173.291
14,Music For a Sushi Restaurant,451.508.596,116.555
15,Daylight,422.550.705,106.119
16,Little Freak,418.027.454,140.512
17,Keep Driving,392.353.128,104.151
18,From the Dining Table,379.857.955,82.384
19,Cherry,376.600.928,127.569
20,She,361.568.624,64.802
21,Two Ghosts,349.846.905,64.229
22,Love Of My Life,332.959.988,95.058
23,Sunflower Vol. 6,323.597.325,67.901
24,Girl Crush - Recorded at Metropolis Studios London,301.148.538,54.528
25,To Be So Lonely,270.458.900,42.197
26,Grapejuice,267.227.646,74.054
27,Daydreaming,259.512.742,76.977
28,Cinema,254.801.946,104.608
29,Meet Me in the Hallway,246.516.551,46.226
30,Woman,242.249.088,41.128
31,Canyon Moon,230.194.350,44.910
32,Carolina,229.728.999,44.182
33,Only Angel,217.597.829,43.361
34,Treat People With Kindness,212.959.544,36.879
35,Ever Since New York,196.088.336,37.662
36,Boyfriends,179.763.091,44.100
37,Two Ghosts - Recorded at Metropolis Studios London,56.883.275,11.095
