Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.827.550.378,1.399.025
2,Watermelon Sugar,2.981.400.529,741.655
3,Adore You,1.845.624.548,690.045
4,Sign of the Times,1.749.814.397,1.057.079
5,Falling,1.373.905.217,433.099
6,Late Night Talking,1.068.712.571,342.066
7,Golden,976.158.423,250.724
8,Lights Up,709.890.211,103.444
9,Sweet Creature,637.930.627,132.558
10,Matilda,603.835.647,350.357
11,Fine Line,598.843.568,462.378
12,Kiwi,564.595.706,115.176
13,Satellite,514.152.708,206.955
14,Music For a Sushi Restaurant,448.096.723,143.149
15,Daylight,419.315.276,129.461
16,Little Freak,413.853.185,170.442
17,Keep Driving,389.288.836,122.624
18,From the Dining Table,377.474.381,97.856
19,Cherry,373.762.061,106.132
20,She,359.646.514,78.746
21,Two Ghosts,347.972.060,79.458
22,Love Of My Life,330.128.525,115.923
23,Sunflower Vol. 6,321.720.883,76.682
24,Girl Crush - Recorded at Metropolis Studios London,299.598.350,62.595
25,To Be So Lonely,269.167.920,53.971
26,Grapejuice,265.053.904,87.321
27,Daydreaming,257.306.454,90.210
28,Cinema,252.397.425,93.832
29,Meet Me in the Hallway,245.253.789,46.577
30,Woman,241.029.819,51.330
31,Canyon Moon,228.869.102,53.518
32,Carolina,228.498.811,50.083
33,Only Angel,216.335.288,52.700
34,Treat People With Kindness,211.838.201,46.470
35,Ever Since New York,194.969.595,45.349
36,Boyfriends,178.447.125,53.527
37,Two Ghosts - Recorded at Metropolis Studios London,56.558.137,13.890
