Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.814.589.274,1.353.543
2,Watermelon Sugar,2.973.716.437,1.040.840
3,Adore You,1.839.387.719,434.143
4,Sign of the Times,1.739.541.804,989.053
5,Falling,1.369.848.318,403.210
6,Late Night Talking,1.065.475.112,329.938
7,Golden,973.907.269,220.047
8,Lights Up,708.909.556,93.546
9,Sweet Creature,636.650.034,118.491
10,Matilda,600.511.156,302.422
11,Fine Line,594.314.612,433.850
12,Kiwi,563.494.232,106.462
13,Satellite,512.176.134,195.752
14,Music For a Sushi Restaurant,446.764.192,135.196
15,Daylight,418.057.132,121.310
16,Little Freak,412.227.570,144.456
17,Keep Driving,388.111.848,106.865
18,From the Dining Table,376.563.874,79.905
19,Cherry,372.739.139,89.936
20,She,358.902.754,69.910
21,Two Ghosts,347.240.032,70.984
22,Love Of My Life,328.991.580,106.371
23,Sunflower Vol. 6,321.021.739,65.418
24,Girl Crush - Recorded at Metropolis Studios London,299.017.478,52.927
25,To Be So Lonely,268.663.913,45.895
26,Grapejuice,264.253.457,74.044
27,Daydreaming,256.457.314,77.469
28,Cinema,251.519.868,85.507
29,Meet Me in the Hallway,244.809.938,39.467
30,Woman,240.558.685,43.976
31,Canyon Moon,228.368.174,46.977
32,Carolina,228.024.436,44.339
33,Only Angel,215.837.778,47.253
34,Treat People With Kindness,211.417.306,39.971
35,Ever Since New York,194.547.863,37.598
36,Boyfriends,177.933.326,45.077
37,Two Ghosts - Recorded at Metropolis Studios London,56.431.501,11.603
