Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.863.293.055,1.284.519
2,Watermelon Sugar,3.001.550.147,711.436
3,Adore You,1.862.916.262,464.806
4,Sign of the Times,1.775.551.072,958.267
5,Falling,1.385.887.993,541.264
6,Late Night Talking,1.077.696.579,325.350
7,Golden,982.366.283,219.326
8,Lights Up,712.530.987,92.364
9,Sweet Creature,641.718.713,165.281
10,Matilda,613.474.731,416.642
11,Fine Line,610.077.825,408.956
12,Kiwi,567.828.518,134.929
13,Satellite,519.723.365,203.579
14,Music For a Sushi Restaurant,451.765.263,130.459
15,Daylight,422.788.688,121.152
16,Little Freak,418.352.980,162.993
17,Keep Driving,392.582.189,113.940
18,From the Dining Table,380.042.185,89.821
19,Cherry,376.887.560,146.511
20,She,361.722.381,77.521
21,Two Ghosts,349.998.294,77.306
22,Love Of My Life,333.168.024,104.025
23,Sunflower Vol. 6,323.752.843,77.746
24,Girl Crush - Recorded at Metropolis Studios London,301.276.597,65.213
25,To Be So Lonely,270.557.346,49.172
26,Grapejuice,267.393.320,82.292
27,Daydreaming,259.683.934,84.629
28,Cinema,255.059.928,136.171
29,Meet Me in the Hallway,246.625.340,54.449
30,Woman,242.344.920,48.380
31,Canyon Moon,230.296.713,50.646
32,Carolina,229.829.518,51.131
33,Only Angel,217.697.235,50.883
34,Treat People With Kindness,213.045.661,43.654
35,Ever Since New York,196.177.142,45.467
36,Boyfriends,179.867.267,52.236
37,Two Ghosts - Recorded at Metropolis Studios London,56.908.849,13.027
