Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.815.752.392,1.163.118
2,Watermelon Sugar,2.974.581.646,865.209
3,Adore You,1.839.760.175,372.456
4,Sign of the Times,1.740.492.548,950.744
5,Falling,1.370.236.172,387.854
6,Late Night Talking,1.065.778.193,303.081
7,Golden,974.107.321,200.052
8,Lights Up,708.998.805,89.249
9,Sweet Creature,636.766.870,116.836
10,Matilda,600.817.839,306.683
11,Fine Line,594.751.968,437.356
12,Kiwi,563.588.249,94.017
13,Satellite,512.357.945,181.811
14,Music For a Sushi Restaurant,446.882.803,118.611
15,Daylight,418.175.575,118.443
16,Little Freak,412.375.899,148.329
17,Keep Driving,388.214.680,102.832
18,From the Dining Table,376.647.793,83.919
19,Cherry,372.834.286,95.147
20,She,358.969.172,66.418
21,Two Ghosts,347.306.037,66.005
22,Love Of My Life,329.099.519,107.939
23,Sunflower Vol. 6,321.083.443,61.704
24,Girl Crush - Recorded at Metropolis Studios London,299.069.764,52.286
25,To Be So Lonely,268.707.907,43.994
26,Grapejuice,264.324.037,70.580
27,Daydreaming,256.531.083,73.769
28,Cinema,251.595.850,75.982
29,Meet Me in the Hallway,244.848.894,38.956
30,Woman,240.599.744,41.059
31,Canyon Moon,228.412.193,44.019
32,Carolina,228.064.685,40.249
33,Only Angel,215.879.909,42.131
34,Treat People With Kindness,211.453.197,35.891
35,Ever Since New York,194.583.473,35.610
36,Boyfriends,177.978.030,44.704
37,Two Ghosts - Recorded at Metropolis Studios London,56.442.354,10.853
