Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.826.151.353,1.324.992
2,Watermelon Sugar,2.980.658.874,730.216
3,Adore You,1.844.934.503,648.290
4,Sign of the Times,1.748.757.318,996.326
5,Falling,1.373.472.118,423.757
6,Late Night Talking,1.068.370.505,319.400
7,Golden,975.907.699,236.609
8,Lights Up,709.786.767,99.197
9,Sweet Creature,637.798.069,132.809
10,Matilda,603.485.290,354.188
11,Fine Line,598.381.190,449.302
12,Kiwi,564.480.530,116.704
13,Satellite,513.945.753,204.198
14,Music For a Sushi Restaurant,447.953.574,133.430
15,Daylight,419.185.815,125.614
16,Little Freak,413.682.743,169.464
17,Keep Driving,389.166.212,128.473
18,From the Dining Table,377.376.525,97.756
19,Cherry,373.655.929,105.365
20,She,359.567.768,77.660
21,Two Ghosts,347.892.602,76.748
22,Love Of My Life,330.012.602,116.858
23,Sunflower Vol. 6,321.644.201,71.351
24,Girl Crush - Recorded at Metropolis Studios London,299.535.755,61.653
25,To Be So Lonely,269.113.949,54.057
26,Grapejuice,264.966.583,83.611
27,Daydreaming,257.216.244,89.925
28,Cinema,252.303.593,91.559
29,Meet Me in the Hallway,245.207.212,47.098
30,Woman,240.978.489,51.070
31,Canyon Moon,228.815.584,51.503
32,Carolina,228.448.728,49.310
33,Only Angel,216.282.588,52.099
34,Treat People With Kindness,211.791.731,44.578
35,Ever Since New York,194.924.246,45.411
36,Boyfriends,178.393.598,54.170
37,Two Ghosts - Recorded at Metropolis Studios London,56.544.247,12.964
