Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.864.580.684,1.287.629
2,Watermelon Sugar,3.002.272.736,722.589
3,Adore You,1.863.364.487,448.225
4,Sign of the Times,1.776.556.973,1.005.901
5,Falling,1.386.456.152,568.159
6,Late Night Talking,1.078.017.873,321.294
7,Golden,982.589.634,223.351
8,Lights Up,712.624.857,93.870
9,Sweet Creature,641.898.635,179.922
10,Matilda,613.907.073,432.342
11,Fine Line,610.524.274,446.449
12,Kiwi,567.972.191,143.673
13,Satellite,519.927.702,204.337
14,Music For a Sushi Restaurant,451.895.034,129.771
15,Daylight,422.912.261,123.573
16,Little Freak,418.520.546,167.566
17,Keep Driving,392.702.609,120.420
18,From the Dining Table,380.130.665,88.480
19,Cherry,377.046.310,158.750
20,She,361.801.587,79.206
21,Two Ghosts,350.074.673,76.379
22,Love Of My Life,333.277.401,109.377
23,Sunflower Vol. 6,323.826.536,73.693
24,Girl Crush - Recorded at Metropolis Studios London,301.342.139,65.542
25,To Be So Lonely,270.606.318,48.972
26,Grapejuice,267.477.134,83.814
27,Daydreaming,259.770.211,86.277
28,Cinema,255.206.412,146.484
29,Meet Me in the Hallway,246.680.365,55.025
30,Woman,242.393.410,48.490
31,Canyon Moon,230.347.814,51.101
32,Carolina,229.881.283,51.765
33,Only Angel,217.748.881,51.646
34,Treat People With Kindness,213.089.364,43.703
35,Ever Since New York,196.224.876,47.734
36,Boyfriends,179.918.343,51.076
37,Two Ghosts - Recorded at Metropolis Studios London,56.922.504,13.655
