Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.818.281.172,1.283.641
2,Watermelon Sugar,2.976.280.431,735.098
3,Adore You,1.840.951.964,768.565
4,Sign of the Times,1.742.646.407,1.072.941
5,Falling,1.371.076.686,414.875
6,Late Night Talking,1.066.460.754,337.728
7,Golden,974.563.338,225.786
8,Lights Up,709.202.491,99.259
9,Sweet Creature,637.032.032,134.428
10,Matilda,601.505.328,341.259
11,Fine Line,595.717.455,486.654
12,Kiwi,563.807.049,111.730
13,Satellite,512.768.430,203.189
14,Music For a Sushi Restaurant,447.149.662,135.718
15,Daylight,418.439.993,130.380
16,Little Freak,412.715.396,168.631
17,Keep Driving,388.451.766,118.178
18,From the Dining Table,376.839.292,94.482
19,Cherry,373.051.335,106.908
20,She,359.122.877,77.927
21,Two Ghosts,347.460.918,77.897
22,Love Of My Life,329.339.762,115.875
23,Sunflower Vol. 6,321.225.747,71.889
24,Girl Crush - Recorded at Metropolis Studios London,299.190.662,60.287
25,To Be So Lonely,268.810.588,51.408
26,Grapejuice,264.487.002,82.042
27,Daydreaming,256.705.767,89.876
28,Cinema,251.773.789,91.469
29,Meet Me in the Hallway,244.940.723,46.732
30,Woman,240.695.083,47.613
31,Canyon Moon,228.514.485,51.380
32,Carolina,228.162.167,50.397
33,Only Angel,215.981.551,51.877
34,Treat People With Kindness,211.536.533,42.376
35,Ever Since New York,194.670.470,44.324
36,Boyfriends,178.083.236,53.618
37,Two Ghosts - Recorded at Metropolis Studios London,56.467.908,12.764
