Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.811.873.054,1.318.959
2,Watermelon Sugar,2.971.640.072,987.078
3,Adore You,1.838.530.303,436.073
4,Sign of the Times,1.737.499.960,1.173.018
5,Falling,1.369.034.955,433.551
6,Late Night Talking,1.064.806.532,334.250
7,Golden,973.452.145,232.428
8,Lights Up,708.718.479,103.664
9,Sweet Creature,636.410.266,131.922
10,Matilda,599.881.136,353.299
11,Fine Line,593.438.122,487.313
12,Kiwi,563.269.467,117.725
13,Satellite,511.777.777,197.411
14,Music For a Sushi Restaurant,446.495.111,133.788
15,Daylight,417.810.081,129.870
16,Little Freak,411.919.153,174.923
17,Keep Driving,387.885.824,128.395
18,From the Dining Table,376.397.199,97.059
19,Cherry,372.548.655,108.526
20,She,358.755.387,81.916
21,Two Ghosts,347.092.844,86.635
22,Love Of My Life,328.774.303,114.669
23,Sunflower Vol. 6,320.887.619,70.243
24,Girl Crush - Recorded at Metropolis Studios London,298.905.260,61.799
25,To Be So Lonely,268.569.432,53.464
26,Grapejuice,264.100.431,82.642
27,Daydreaming,256.294.163,86.059
28,Cinema,251.344.587,93.330
29,Meet Me in the Hallway,244.726.987,48.720
30,Woman,240.464.818,51.656
31,Canyon Moon,228.272.126,52.342
32,Carolina,227.933.460,51.755
33,Only Angel,215.735.403,54.990
34,Treat People With Kindness,211.335.654,42.090
35,Ever Since New York,194.466.619,47.238
36,Boyfriends,177.838.021,54.646
37,Two Ghosts - Recorded at Metropolis Studios London,56.407.699,13.181
