Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.816.997.531,1.245.139
2,Watermelon Sugar,2.975.545.333,963.687
3,Adore You,1.840.183.399,423.224
4,Sign of the Times,1.741.573.466,1.080.918
5,Falling,1.370.661.811,425.639
6,Late Night Talking,1.066.123.026,344.833
7,Golden,974.337.552,230.231
8,Lights Up,709.103.232,104.427
9,Sweet Creature,636.897.604,130.734
10,Matilda,601.164.069,346.230
11,Fine Line,595.230.801,478.833
12,Kiwi,563.695.319,107.070
13,Satellite,512.565.241,207.296
14,Music For a Sushi Restaurant,447.013.944,131.141
15,Daylight,418.309.613,134.038
16,Little Freak,412.546.765,170.866
17,Keep Driving,388.333.588,118.908
18,From the Dining Table,376.744.810,97.017
19,Cherry,372.944.427,110.141
20,She,359.044.950,75.778
21,Two Ghosts,347.383.021,76.984
22,Love Of My Life,329.223.887,124.368
23,Sunflower Vol. 6,321.153.858,70.415
24,Girl Crush - Recorded at Metropolis Studios London,299.130.375,60.611
25,To Be So Lonely,268.759.180,51.273
26,Grapejuice,264.404.960,80.923
27,Daydreaming,256.615.891,84.808
28,Cinema,251.682.320,86.470
29,Meet Me in the Hallway,244.893.991,45.097
30,Woman,240.647.470,47.726
31,Canyon Moon,228.463.105,50.912
32,Carolina,228.111.770,47.085
33,Only Angel,215.929.674,49.765
34,Treat People With Kindness,211.494.157,40.960
35,Ever Since New York,194.626.146,42.673
36,Boyfriends,178.029.618,51.588
37,Two Ghosts - Recorded at Metropolis Studios London,56.455.144,12.790
