Ranking,Song Title (02.04.25),Streams  ges. (02.04.25),Daily (01.04.25)
1,Night Changes,2.083.525.813,1.284.515
2,Story of My Life,1.605.831.202,954.968
3,What Makes You Beautiful,1.548.624.864,883.825
4,Drag Me Down,1.261.439.616,339.472
5,Perfect,1.045.266.721,521.865
6,Steal My Girl,979.659.859,701.329
7,18,781.268.415,312.189
8,You & I,703.998.273,503.501
9,Best Song Ever,677.404.245,262.925
10,Little Things,668.612.388,161.870
11,History,625.191.105,124.414
12,They Don't Know About Us,609.947.202,155.574
13,Right Now,535.107.981,280.963
14,Kiss You,473.651.293,140.339
15,Live While We're Young,445.919.130,154.016
16,One Thing,415.570.550,244.443
17,Strong,355.730.507,142.538
18,No Control,326.301.486,101.627
19,If I Could Fly,297.780.766,54.226
20,Olivia,297.439.712,61.659
21,Infinity,248.812.224,50.677
22,Stockholm Syndrome,247.855.415,84.945
23,Midnight Memories,247.132.213,68.650
24,Love You Goodbye,224.588.668,53.661
25,Fool's Gold,210.473.349,60.955
26,Where Do Broken Hearts Go,208.160.402,70.172
27,Fireproof,203.860.692,75.626
28,A.M.,201.877.687,40.206
29,Half a Heart,199.239.487,39.018
30,What a Feeling,196.872.243,56.532
31,One Way or Another (Teenage Kicks),192.448.137,53.645
32,End of the Day,184.814.606,33.880
33,Happily,180.652.213,43.301
34,Over Again,178.784.846,41.629
35,More Than This,177.765.616,48.071
36,Walking in the Wind,173.074.751,59.354
37,Last First Kiss,160.958.540,42.155
38,Rock Me,160.771.303,44.236
39,Diana,160.322.331,43.042
40,Ready to Run,155.853.704,48.439
41,Temporary Fix,148.258.717,38.241
42,Girl Almighty,146.237.724,41.635
43,Up All Night,139.407.571,39.994
44,Gotta Be You,135.176.303,38.391
45,Wolves,134.229.202,33.407
46,I Would,128.481.343,39.041
47,Never Enough,127.013.672,25.843
48,I Want to Write You a Song,125.231.337,25.628
49,Don't Forget Where You Belong,120.623.686,30.719
50,C'mon C'mon,115.581.442,38.830
51,She's Not Afraid,115.238.791,33.560
52,Through the Dark,114.390.131,39.161
53,Hey Angel,113.874.021,27.806
54,Moments,112.977.693,32.503
55,Act My Age,105.372.708,24.949
56,Home,105.049.638,23.960
57,Heart Attack,101.734.656,23.174
58,I Wish,97.820.819,25.650
59,Better Than Words,96.406.470,25.229
60,Long Way Down,94.002.060,21.339
61,Clouds,93.902.838,23.671
62,Taken,93.756.499,23.494
63,Nobody Compares,91.641.146,27.803
64,Little White Lies,91.279.133,23.320
65,Spaces,91.224.933,21.772
66,Still The One,89.071.571,27.126
67,Little Black Dress,88.277.722,21.644
68,Change My Mind,86.758.151,22.276
69,Summer Love,86.204.904,18.114
70,I Want,81.630.753,21.205
71,Once in a Lifetime,79.779.260,19.178
72,Does He Know?,79.544.911,21.563
73,Why Don't We Go There,78.068.277,22.224
74,Change Your Ticket,76.360.484,22.020
75,Back For You,73.491.498,17.449
76,Loved You First,70.981.907,18.591
77,Something Great,69.965.807,17.725
78,Stand Up,69.824.575,18.383
79,Same Mistakes,69.211.235,17.308
80,Magic,68.428.006,31.313
81,Alive,68.061.212,17.908
82,Illusion,66.499.591,15.877
83,Tell Me a Lie,66.035.074,17.670
84,Stole My Heart,65.050.449,19.872
85,Na Na Na,63.341.866,18.568
86,Everything About You,57.716.878,14.947
87,I Should Have Kissed You,57.539.505,18.768
88,Save You Tonight,53.172.585,13.326
89,Night Changes - Live Acoustic Session,44.053.174,10.898
90,Truly Madly Deeply,43.154.738,17.162
91,Irresistible,39.144.753,17.855
92,Another World,34.665.327,10.368
93,One Thing - Acoustic,33.460.603,8.548
94,You & I - Piano Version,31.202.566,4.063
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.713.122,8.833
96,Steal My Girl - Acoustic Version,24.437.747,4.519
97,You & I - Radio Edit,20.440.086,1.659
98,Perfect (feat. Matoma) - Matoma Remix,19.617.260,831
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.545.376,314
100,Steal My Girl - Live Acoustic Session,11.613.480,1.425
101,Best Song Ever - Kat Krazy Remix,8.441.895,1.015
102,Night Changes - Afterhrs Remix,8.155.225,729
103,You & I - Big Payno Remix,7.116.966,340
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.702.986,566
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.336.148,2.839
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.766.919,1.193
107,Live While We're Young - The Jump Smokers Remix,4.566.122,279
108,Story of My Life - Live X Factor Performance,4.469.280,1.164
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.360.610,223
110,Best Song Ever - Jump Smokers Remix,4.168.359,437
111,I Want - Live,4.071.007,801
112,Live While We're Young - Dave Aude Remix,3.628.084,223
113,One Way or Another (Teenage Kicks) - Instrumental,2.348.561,304
114,You & I - Duet Version,2.302.102,344
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.186.230,305
116,What Makes You Beautiful - Live,2.159.150,1.112
117,More Than This - Live,1.736.286,761
118,Up All Night - Live,1.464.645,729
119,Best Song Ever - WestFunk & Steve Smart Remix,1.286.996,187
120,Gotta Be You - Live,1.285.966,546
121,Gotta Be You - Steve Smart & Westfunk Remix,528.569,174
122,Gotta Be You - Mojam Remix,446.161,162
123,Kiss You - Sharoque Remix,433.384,182
