Ranking,Song Title (28.03.25),Streams  ges. (28.03.25),Daily (27.03.25)
1,Night Changes,2.076.469.664,1.534.562
2,Story of My Life,1.600.796.026,1.049.616
3,What Makes You Beautiful,1.543.959.768,932.861
4,Drag Me Down,1.259.254.649,482.943
5,Perfect,1.042.637.784,523.535
6,Steal My Girl,976.152.864,686.265
7,18,779.654.325,358.777
8,You & I,701.510.898,519.860
9,Best Song Ever,676.088.591,268.827
10,Little Things,667.821.334,175.622
11,History,624.549.109,138.959
12,They Don't Know About Us,609.166.617,171.165
13,Right Now,533.634.670,323.798
14,Kiss You,472.945.066,156.653
15,Live While We're Young,445.121.851,172.010
16,One Thing,414.700.026,172.091
17,Strong,354.991.002,162.902
18,No Control,325.810.236,106.736
19,If I Could Fly,297.524.843,54.904
20,Olivia,297.143.022,65.460
21,Infinity,248.563.020,55.394
22,Stockholm Syndrome,247.445.315,89.031
23,Midnight Memories,246.792.058,75.867
24,Love You Goodbye,224.335.639,59.129
25,Fool's Gold,210.194.116,61.035
26,Where Do Broken Hearts Go,207.819.569,77.937
27,Fireproof,203.510.355,80.069
28,A.M.,201.684.901,43.987
29,Half a Heart,199.057.061,41.811
30,What a Feeling,196.609.599,59.321
31,One Way or Another (Teenage Kicks),192.185.528,57.223
32,End of the Day,184.652.002,38.121
33,Happily,180.450.892,49.562
34,Over Again,178.583.977,46.688
35,More Than This,177.535.015,53.447
36,Walking in the Wind,172.793.363,61.418
37,Last First Kiss,160.754.329,46.352
38,Rock Me,160.561.357,48.832
39,Diana,160.109.852,49.780
40,Ready to Run,155.616.920,53.358
41,Temporary Fix,148.083.637,38.293
42,Girl Almighty,146.036.459,44.639
43,Up All Night,139.209.025,43.409
44,Gotta Be You,134.983.751,43.873
45,Wolves,134.073.825,34.520
46,I Would,128.294.662,43.220
47,Never Enough,126.890.779,27.758
48,I Want to Write You a Song,125.110.006,26.363
49,Don't Forget Where You Belong,120.473.663,34.319
50,C'mon C'mon,115.392.503,44.064
51,She's Not Afraid,115.078.499,37.091
52,Through the Dark,114.200.537,42.454
53,Hey Angel,113.741.080,31.019
54,Moments,112.820.498,37.822
55,Act My Age,105.251.999,27.665
56,Home,104.934.709,26.748
57,Heart Attack,101.620.329,25.960
58,I Wish,97.698.699,28.202
59,Better Than Words,96.288.756,26.492
60,Long Way Down,93.902.617,23.360
61,Clouds,93.789.429,26.726
62,Taken,93.645.098,25.448
63,Nobody Compares,91.520.909,25.667
64,Little White Lies,91.169.148,24.577
65,Spaces,91.120.741,26.224
66,Still The One,88.947.732,26.646
67,Little Black Dress,88.174.770,23.592
68,Change My Mind,86.657.473,22.750
69,Summer Love,86.121.306,19.049
70,I Want,81.531.500,21.829
71,Once in a Lifetime,79.688.994,20.874
72,Does He Know?,79.447.529,22.162
73,Why Don't We Go There,77.969.934,22.296
74,Change Your Ticket,76.257.436,25.062
75,Back For You,73.409.197,19.264
76,Loved You First,70.895.838,20.244
77,Something Great,69.883.668,19.580
78,Stand Up,69.736.085,20.635
79,Same Mistakes,69.130.864,17.871
80,Magic,68.277.305,32.792
81,Alive,67.979.508,18.589
82,Illusion,66.424.435,17.045
83,Tell Me a Lie,65.950.811,20.199
84,Stole My Heart,64.956.522,20.708
85,Na Na Na,63.250.774,21.015
86,Everything About You,57.647.223,15.958
87,I Should Have Kissed You,57.450.368,20.346
88,Save You Tonight,53.109.105,14.522
89,Night Changes - Live Acoustic Session,44.000.767,11.639
90,Truly Madly Deeply,43.072.532,19.293
91,Irresistible,39.063.280,18.481
92,Another World,34.616.756,11.074
93,One Thing - Acoustic,33.419.108,9.521
94,You & I - Piano Version,31.183.329,4.085
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.669.297,10.156
96,Steal My Girl - Acoustic Version,24.415.312,5.470
97,You & I - Radio Edit,20.431.900,1.592
98,Perfect (feat. Matoma) - Matoma Remix,19.613.313,865
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.543.777,365
100,Steal My Girl - Live Acoustic Session,11.606.955,1.460
101,Best Song Ever - Kat Krazy Remix,8.437.020,1.077
102,Night Changes - Afterhrs Remix,8.151.798,776
103,You & I - Big Payno Remix,7.115.474,354
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.700.213,593
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.323.267,3.001
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.761.457,1.215
107,Live While We're Young - The Jump Smokers Remix,4.564.761,322
108,Story of My Life - Live X Factor Performance,4.463.720,1.209
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.359.574,238
110,Best Song Ever - Jump Smokers Remix,4.166.290,499
111,I Want - Live,4.067.001,818
112,Live While We're Young - Dave Aude Remix,3.627.005,247
113,One Way or Another (Teenage Kicks) - Instrumental,2.347.141,338
114,You & I - Duet Version,2.300.472,368
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.184.694,290
116,What Makes You Beautiful - Live,2.154.141,1.018
117,More Than This - Live,1.732.656,857
118,Up All Night - Live,1.461.235,731
119,Best Song Ever - WestFunk & Steve Smart Remix,1.286.145,191
120,Gotta Be You - Live,1.283.260,639
121,Gotta Be You - Steve Smart & Westfunk Remix,527.751,186
122,Gotta Be You - Mojam Remix,445.427,175
123,Kiss You - Sharoque Remix,432.462,232
