Ranking,Song Title (26.03.25),Streams  ges. (26.03.25),Daily (25.03.25)
1,Night Changes,2.073.431.378,1.439.578
2,Story of My Life,1.598.668.091,1.022.461
3,What Makes You Beautiful,1.542.078.049,937.709
4,Drag Me Down,1.258.216.787,556.039
5,Perfect,1.041.500.226,598.109
6,Steal My Girl,974.686.936,751.107
7,18,778.915.391,363.542
8,You & I,700.431.454,538.081
9,Best Song Ever,675.542.061,276.152
10,Little Things,667.479.341,158.385
11,History,624.263.525,138.328
12,They Don't Know About Us,608.818.097,174.003
13,Right Now,532.976.505,327.457
14,Kiss You,472.637.226,143.733
15,Live While We're Young,444.777.806,163.931
16,One Thing,414.355.010,160.767
17,Strong,354.660.243,155.003
18,No Control,325.596.728,103.211
19,If I Could Fly,297.414.893,53.668
20,Olivia,297.011.376,63.252
21,Infinity,248.452.704,52.778
22,Stockholm Syndrome,247.264.864,80.869
23,Midnight Memories,246.640.766,70.491
24,Love You Goodbye,224.218.894,54.267
25,Fool's Gold,210.071.413,56.685
26,Where Do Broken Hearts Go,207.665.853,75.312
27,Fireproof,203.351.429,73.602
28,A.M.,201.596.651,40.372
29,Half a Heart,198.973.579,39.321
30,What a Feeling,196.491.725,55.192
31,One Way or Another (Teenage Kicks),192.072.263,53.508
32,End of the Day,184.578.414,35.360
33,Happily,180.356.358,41.073
34,Over Again,178.491.174,42.726
35,More Than This,177.429.625,46.804
36,Walking in the Wind,172.668.574,61.259
37,Last First Kiss,160.660.379,44.680
38,Rock Me,160.467.395,43.994
39,Diana,160.013.031,43.491
40,Ready to Run,155.506.999,49.789
41,Temporary Fix,148.007.291,36.666
42,Girl Almighty,145.947.424,42.240
43,Up All Night,139.121.639,41.883
44,Gotta Be You,134.896.842,38.881
45,Wolves,134.004.531,33.240
46,I Would,128.208.203,40.518
47,Never Enough,126.834.949,26.003
48,I Want to Write You a Song,125.056.995,25.225
49,Don't Forget Where You Belong,120.404.964,31.465
50,C'mon C'mon,115.307.483,39.233
51,She's Not Afraid,115.004.927,34.128
52,Through the Dark,114.115.852,40.458
53,Hey Angel,113.677.730,29.808
54,Moments,112.745.960,32.456
55,Act My Age,105.197.077,26.033
56,Home,104.881.137,24.101
57,Heart Attack,101.569.079,24.012
58,I Wish,97.642.500,25.216
59,Better Than Words,96.235.814,25.250
60,Long Way Down,93.856.743,21.598
61,Clouds,93.736.746,24.608
62,Taken,93.594.654,22.862
63,Nobody Compares,91.468.995,25.551
64,Little White Lies,91.120.190,22.631
65,Spaces,91.069.806,22.842
66,Still The One,88.894.771,25.228
67,Little Black Dress,88.128.168,22.060
68,Change My Mind,86.611.697,22.322
69,Summer Love,86.083.617,18.151
70,I Want,81.487.909,20.247
71,Once in a Lifetime,79.647.754,18.823
72,Does He Know?,79.403.673,21.462
73,Why Don't We Go There,77.925.534,20.863
74,Change Your Ticket,76.209.053,21.512
75,Back For You,73.370.937,17.036
76,Loved You First,70.855.495,18.540
77,Something Great,69.843.428,19.350
78,Stand Up,69.695.355,18.204
79,Same Mistakes,69.095.220,16.686
80,Magic,68.211.614,31.744
81,Alive,67.942.691,17.370
82,Illusion,66.390.067,16.463
83,Tell Me a Lie,65.911.842,17.275
84,Stole My Heart,64.914.986,19.468
85,Na Na Na,63.209.228,18.766
86,Everything About You,57.615.726,14.200
87,I Should Have Kissed You,57.409.787,18.469
88,Save You Tonight,53.080.321,13.355
89,Night Changes - Live Acoustic Session,43.977.098,10.145
90,Truly Madly Deeply,43.034.695,17.373
91,Irresistible,39.026.227,17.789
92,Another World,34.594.660,10.401
93,One Thing - Acoustic,33.400.033,8.484
94,You & I - Piano Version,31.175.166,3.921
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.649.087,8.981
96,Steal My Girl - Acoustic Version,24.404.617,5.179
97,You & I - Radio Edit,20.428.671,1.527
98,Perfect (feat. Matoma) - Matoma Remix,19.611.622,812
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.543.022,343
100,Steal My Girl - Live Acoustic Session,11.604.065,1.315
101,Best Song Ever - Kat Krazy Remix,8.434.933,1.013
102,Night Changes - Afterhrs Remix,8.150.262,718
103,You & I - Big Payno Remix,7.114.779,341
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.699.011,534
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.317.418,2.718
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.758.992,1.138
107,Live While We're Young - The Jump Smokers Remix,4.564.123,300
108,Story of My Life - Live X Factor Performance,4.461.245,1.150
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.359.093,210
110,Best Song Ever - Jump Smokers Remix,4.165.231,454
111,I Want - Live,4.065.359,764
112,Live While We're Young - Dave Aude Remix,3.626.480,259
113,One Way or Another (Teenage Kicks) - Instrumental,2.346.437,288
114,You & I - Duet Version,2.299.742,342
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.184.035,315
116,What Makes You Beautiful - Live,2.152.081,964
117,More Than This - Live,1.730.961,781
118,Up All Night - Live,1.459.750,686
119,Best Song Ever - WestFunk & Steve Smart Remix,1.285.727,187
120,Gotta Be You - Live,1.282.023,586
121,Gotta Be You - Steve Smart & Westfunk Remix,527.379,195
122,Gotta Be You - Mojam Remix,445.074,141
123,Kiss You - Sharoque Remix,432.043,180
