Rank,"Song Title",Streams,Daily
154,"Watch Out For This - Daddy Yankee Remix",19318371,23278
155,"Me Quedo",19245762,5610
156,"LA OLA",18673383,2235
157,Maúlla,18591126,18192
158,"EL ABUSADOR DEL ABUSADOR",18072749,2057
159,"I Like To Move It (Muévelo) with Daddy Yankee",17509846,12073
160,"Cierra los ojos (feat Daddy Yankee)",17499136,2840
161,"EL REY DE LO IMPERFECTO",16607770,1959
162,"Santifica Tus Escapularios",16527510,6410
163,Latigazo,16326389,8134
164,Jefe,16296534,8316
165,"UNO QUITAO Y OTRO PUESTO",16166597,1532
166,"Estas Aqui (feat Daddy Yankee Nicky Jam Zion J Alvarez)",15724044,2945
167,"Mi Gatita y Yo (feat Las Guanabanas Daddy Yankee)",15156894,5363
168,"Yo Soy De Aqui",14668961,4501
169,"La Noche Esta Buena",14668024,10133
170,"Rompe - Remix",14561015,5335
171,"Son las Doce",14376271,18090
172,"Me Enteré",14288091,1049
173,"Junto al Amanecer - Remix",14217378,8692
174,Taladro,14038895,5876
175,"Lo Que Pasó Pasó - Remix Bonus Track",14012201,4202
176,"El Combo Me Llama 2",13718726,5208
177,"A Que No Te Atreves (Remix)",13487639,27220
178,Guayando,12947389,7305
179,"Mayor Que Yo - Live",12624248,2595
180,ENCHULETIAO,12513985,1081
181,IMPARES,12410879,1122
182,BLOKE,12306451,1282
183,"Pakas De 100 (feat Daddy Yankee)",12195581,6263
184,Pasión,12041777,6482
185,"Sabor a Melao",11993053,2641
186,"Nada Ha Cambiao",11520780,1767
187,"Buscarte (feat Daddy Yankee)",11501703,4736
188,"La Rompe Carros",11453649,2272
189,Como,11311937,596
190,Temblor,10726422,3930
191,"Tírate Al Medio",10642508,2425
192,Yamilette,10568262,5686
193,"La Combi Completa (Live)",10478013,3917
194,"Like You",10203716,1997
195,"Grito Mundial",9932754,1505
196,"Talento de Barrio",9931455,3079
197,Switchea,9893102,2260
198,"Llevo Tras de Ti",9891999,7088
199,"2 Mujeres",9784974,4957
200,ABCD,9689101,33866
201,Cuéntame,9388857,2536
202,"Power (Remix) feat Daddy Yankee Kendo Kaponi Gotay El Autentiko Pusho Alexio D Ozi Almighty",9348222,3687
203,LEGENDADDY,9340548,547
204,"Mas Que Un Amigo",9333943,1608
205,"Déjala Caer",9010440,1642
206,Corazones,8829476,3253
207,"Don Don - Remix",8820946,1538
208,"Oasis de Fantasia",8416019,3037
209,"Guaya (feat Arcange Daddy Yankee)",8410783,12806
210,"Sábado Rebelde - Damn Frog Trap Remix",8311333,147
211,"La Dupleta",8301961,9996
212,"Se activaron los anormales (feat Daddy Yankee)",8090962,9736
213,"Pon T Loca",8053637,1386
214,Pikete,7897413,4641
215,Segurosqui,7832030,3083
216,"Rumba y Candela",7778186,631
217,"Sabor a Melao - Remix Bonus Track",7583656,1419
218,"Dónde Es El Party",7268625,796
219,"Baby Boo - Remix",7013524,9791
220,Daría,6969165,934
221,"La Maquina De Baile",6741375,1170
222,Calentón,6720839,507
223,"El Mejor de Todos los Tiempos",6584691,1281
224,"La Calle Moderna",6511817,1201
225,"After Party",6450776,1164
226,"Comienza el Bellaqueo",6435532,6223
227,"El Party Me Llama",6370375,2446
228,"Miss Show",6291944,985
229,"Ora Por Mí",6177667,4353
230,Pa-Kum-Pa,5984495,1965
231,"Sabado Rebeide",5917613,5185
232,"Una Respuesta",5898437,881
233,"En el Desierto",5812803,7478
234,"Si Supieras (Live)",5804824,31979
235,"Todos Quieren a Raymond",5718649,4215
236,"Mil Problemas",5684811,427
237,"Qué Vas A Hacer",5657927,2820
