,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,As It Was,4.189.103.425,1.531.239,,,,
2,Watermelon Sugar,3.170.285.810,766.546,,,,
3,Sign of the Times,1.995.804.582,1.119.420,,,,
4,Adore You,1.973.325.764,772.390,,,,
5,Falling,1.493.729.940,580.450,,,,
6,Late Night Talking,1.140.363.920,257.431,,,,
7,Golden,1.028.449.207,192.673,,,,
8,Lights Up,732.033.875,105.900,,,,
9,Matilda,700.901.053,527.334,,,,
10,Fine Line,682.360.547,343.110,,,,
11,Sweet Creature,671.400.097,100.660,,,,
12,Kiwi,590.322.152,90.883,,,,
13,Satellite,557.057.486,141.083,,,,
14,Music For a Sushi Restaurant,476.411.385,93.459,,,,
15,Little Freak,451.736.797,130.363,,,,
16,Daylight,446.790.327,98.293,,,,
17,Keep Driving,413.782.746,89.885,,,,
18,Cherry,410.128.518,101.703,,,,
19,From the Dining Table,400.607.623,89.286,,,,
20,She,376.973.151,67.027,,,,
21,Two Ghosts,365.937.471,67.833,,,,
22,Love Of My Life,353.960.911,87.276,,,,
23,Sunflower Vol. 6,338.019.152,59.322,,,,
24,Girl Crush - Recorded at Metropolis Studios London,314.882.689,53.665,,,,
25,Grapejuice,282.627.732,63.782,,,,
26,To Be So Lonely,281.342.806,49.054,,,,
27,Daydreaming,275.553.212,67.385,,,,
28,Cinema,273.778.502,74.872,,,,
29,Meet Me in the Hallway,257.098.700,45.952,,,,
30,Woman,252.002.073,42.307,,,,
31,Canyon Moon,239.753.164,41.335,,,,
32,Carolina,239.170.414,40.336,,,,
33,Only Angel,227.743.354,44.157,,,,
34,Treat People With Kindness,220.514.467,32.802,,,,
35,Ever Since New York,205.804.587,43.052,,,,
36,Boyfriends,189.512.821,43.661,,,,
37,Two Ghosts - Recorded at Metropolis Studios London,59.414.867,11.123,,,,
