Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
1,"Strip That Down (feat. Quavo)",1114300954,136903,,,,
2,"For You (With Rita Ora)",554948432,121939,,,,
3,"Polaroid (With Jonas Blue & Lennon Stella)",447039816,52012,,,,
4,"Familiar (With J. Balvin)",298673920,23867,,,,
5,"Get Low (With Zedd)",221181897,13730,,,,
6,"Midnight (feat. Liam Payne)",216700918,18958,,,,
7,"Bedroom Floor",183950909,12950,,,,
8,"Stack It Up (feat. A Boogie Wit da Hoodie)",122259081,14160,,,,
9,"All I Want (For Christmas)",99295713,2243,,,,
10,"Naughty List (with Dixie)",70400570,1053,,,,
11,"Strip That Down - Acoustic",63199038,3799,,,,
12,"Live Forever (With Cheat Codes)",58095755,4091,,,,
13,"First Time",42167687,1499,,,,
14,"Sunshine - From the Motion Picture “Ron’s Gone Wrong”",29898715,7157,,,,
15,Teardrops,27665797,15537,,,,
16,Remember,27282829,11215,,,,
17,"Polaroid - Acoustic",25388359,1569,,,,
18,"Strip That Down - Nevada Remix",15911192,868,,,,
19,"Depend On It",13366536,2165,,,,
20,Slow,13086005,4145,,,,
21,"Let It Snow, Let It Snow, Let It Snow",12865738,147,,,,
22,"Heart Meet Break",10697562,2056,,,,
23,"Home With You",9969903,2128,,,,
24,"Stack It Up - Acoustic",9646965,444,,,,
25,"Say It All",7541121,2532,,,,
26,"Tell Your Friends",7251997,1386,,,,
27,"You & I - Big Payno Remix",7215422,297,,,,
28,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6867578,447,,,,
29,Weekend,6784653,1426,,,,
30,"Hips Don't Lie",6708504,1130,,,,
31,"Both Ways",5782709,1061,,,,
32,"Bedroom Floor - Cash Cash Remix",5508600,253,,,,
33,"Polaroid - R3HAB Remix",5288240,136,,,,
34,"Rude Hours",5161004,938,,,,
35,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4426445,205,,,,
36,"Midnight (feat. Liam Payne) (Rompasso Remix)",3709389,173,,,,
37,"Bedroom Floor - Acoustic",3642963,229,,,,
38,"Get Low - KUURO Remix",3014916,100,,,,
39,"Teardrops - Acoustic",2581838,1407,,,,
40,"Midnight (feat. Liam Payne) (Jack Wins Remix)",2146588,139,,,,
41,"Polaroid - CID & Jonas Blue Remix",1658360,50,,,,
42,"Bedroom Floor - NSG Remix",1486623,66,,,,
43,"Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1480116,100,,,,
44,"Polaroid - Zac Samuel Remix",1179544,91,,,,
45,"Midnight (feat. Liam Payne) (Vicetone Remix)",948020,179,,,,
46,"Live Forever (With Cheat Codes) - R3HAB Remix",801892,104,,,,
47,"Midnight - Sylvain Armand & Kiko Franco Remix",722094,55,,,,
48,"Sunshine - From the Motion Picture “Ron’s Gone Wrong” / Acoustic",683108,179,,,,
49,"Sunshine - From the Motion Picture “Ron’s Gone Wrong’’ (Billen Ted Remix)",544936,93,,,,
50,"Bedroom Floor - London On Da Track Remix",541916,41,,,,
51,"Polaroid - HUGEL Remix",537879,38,,,,
52,"Polaroid - Nolan van Lith Remix",282979,25,,,,
53,"Live Forever (with Cheat Codes) - 99 Souls Remix",273516,33,,,,
54,"Live Forever (With Cheat Codes) - Mahalo Remix",259181,41,,,,
55,"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",214348,27,,,,
56,"I Don't Care - Payno Vs. Afterhrs Remix",198548,5,,,,
57,"Midnight (feat. Liam Payne) (Magnificence Remix)",188853,28,,,,
