,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Night Changes,2.429.298.927,1.375.301,,,,
2,Story of My Life,1.841.038.582,863.925,,,,
3,What Makes You Beautiful,1.784.172.271,827.367,,,,
4,Drag Me Down,1.361.157.156,353.614,,,,
5,Perfect,1.195.277.086,548.782,,,,
6,Steal My Girl,1.164.007.923,628.811,,,,
7,18,904.305.312,400.313,,,,
8,You & I,827.632.275,439.042,,,,
9,Best Song Ever,761.417.572,183.385,,,,
10,Little Things,708.188.550,116.408,,,,
11,History,664.604.185,103.503,,,,
12,They Don't Know About Us,655.798.190,204.104,,,,
13,Right Now,629.482.193,290.593,,,,
14,Kiss You,513.780.837,129.375,,,,
15,Live While We're Young,493.817.646,130.698,,,,
16,One Thing,477.349.682,225.475,,,,
17,Strong,404.223.387,139.915,,,,
18,No Control,352.797.282,104.237,,,,
19,Olivia,312.147.790,43.811,,,,
20,If I Could Fly,310.693.226,40.883,,,,
21,Stockholm Syndrome,268.325.963,60.602,,,,
22,Midnight Memories,263.877.063,53.135,,,,
23,Infinity,261.998.539,43.322,,,,
24,Love You Goodbye,236.737.289,35.208,,,,
25,Where Do Broken Hearts Go,229.486.812,102.193,,,,
26,Fool's Gold,224.911.380,48.398,,,,
27,Fireproof,221.966.480,60.102,,,,
28,A.M.,211.691.703,31.242,,,,
29,What a Feeling,210.990.541,44.688,,,,
30,Half a Heart,208.616.990,28.285,,,,
31,One Way or Another (Teenage Kicks),206.287.473,46.713,,,,
32,End of the Day,193.877.129,27.449,,,,
33,Happily,191.925.243,33.354,,,,
34,More Than This,189.497.666,36.078,,,,
35,Over Again,188.875.499,30.859,,,,
36,Walking in the Wind,186.749.399,37.325,,,,
37,Diana,172.476.402,40.901,,,,
38,Last First Kiss,172.439.998,36.279,,,,
39,Rock Me,172.108.707,110.888,,,,
40,Ready to Run,168.579.385,39.455,,,,
41,Temporary Fix,157.353.243,27.354,,,,
42,Girl Almighty,156.678.182,31.804,,,,
43,Up All Night,149.699.573,30.993,,,,
44,Gotta Be You,145.515.151,32.967,,,,
45,Wolves,142.694.239,26.272,,,,
46,I Would,138.312.645,31.426,,,,
47,Never Enough,133.511.199,19.585,,,,
48,I Want to Write You a Song,131.289.817,18.513,,,,
49,Don't Forget Where You Belong,128.454.430,24.571,,,,
50,C'mon C'mon,126.295.057,35.911,,,,
51,Through the Dark,124.695.430,32.878,,,,
52,She's Not Afraid,123.857.164,29.659,,,,
53,Hey Angel,121.148.354,21.725,,,,
54,Moments,120.731.229,23.820,,,,
55,Act My Age,111.243.251,18.684,,,,
56,Home,110.806.001,17.765,,,,
57,Heart Attack,108.306.774,24.936,,,,
58,I Wish,104.466.810,21.330,,,,
59,Better Than Words,102.353.239,18.182,,,,
60,Clouds,100.089.089,19.301,,,,
61,Taken,99.603.319,18.680,,,,
62,Long Way Down,99.289.923,17.020,,,,
63,Nobody Compares,98.191.510,20.294,,,,
64,Little White Lies,97.521.734,18.680,,,,
65,Spaces,96.404.686,15.775,,,,
66,Still The One,95.927.411,21.532,,,,
67,Little Black Dress,93.771.003,16.983,,,,
68,Change My Mind,92.501.514,19.495,,,,
69,Summer Love,90.774.374,14.270,,,,
70,I Want,86.548.377,15.584,,,,
71,Does He Know?,85.564.671,19.092,,,,
72,Once in a Lifetime,84.816.291,16.284,,,,
73,Why Don't We Go There,83.246.628,16.091,,,,
74,Change Your Ticket,81.931.417,18.776,,,,
75,Back For You,78.759.155,15.991,,,,
76,Magic,77.004.858,26.936,,,,
77,Loved You First,76.184.358,17.344,,,,
78,Stand Up,74.538.585,14.882,,,,
79,Something Great,74.226.805,13.279,,,,
80,Same Mistakes,73.378.743,13.166,,,,
81,Alive,72.193.888,12.058,,,,
82,Illusion,70.742.031,13.661,,,,
83,Tell Me a Lie,70.595.217,14.988,,,,
84,Stole My Heart,69.960.911,15.754,,,,
85,Na Na Na,68.093.967,14.963,,,,
86,I Should Have Kissed You,62.247.858,15.146,,,,
87,Everything About You,61.500.734,11.929,,,,
88,Save You Tonight,56.595.467,10.934,,,,
89,Truly Madly Deeply,47.534.842,14.215,,,,
90,Night Changes - Live Acoustic Session,46.441.884,6.883,,,,
91,Irresistible,43.484.684,13.934,,,,
92,Another World,37.266.929,8.495,,,,
93,One Thing - Acoustic,35.549.977,6.260,,,,
94,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",32.974.696,7.319,,,,
95,You & I - Piano Version,32.165.954,3.151,,,,
96,Steal My Girl - Acoustic Version,25.354.618,2.609,,,,
97,You & I - Radio Edit,21.400.807,3.232,,,,
98,Perfect (feat. Matoma) - Matoma Remix,19.882.722,791,,,,
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.628.617,276,,,,
100,Steal My Girl - Live Acoustic Session,11.926.043,960,,,,
101,Best Song Ever - Kat Krazy Remix,8.680.632,808,,,,
102,Night Changes - Afterhrs Remix,8.333.167,663,,,,
103,You & I - Big Payno Remix,7.200.392,289,,,,
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.843.083,402,,,,
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.898.949,1.720,,,,
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5.031.240,803,,,,
107,Story of My Life - Live X Factor Performance,4.734.022,876,,,,
108,Live While We're Young - The Jump Smokers Remix,4.639.565,264,,,,
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.415.903,203,,,,
110,Best Song Ever - Jump Smokers Remix,4.281.252,425,,,,
111,I Want - Live,4.248.959,536,,,,
112,Live While We're Young - Dave Aude Remix,3.690.213,210,,,,
113,You & I - Duet Version,2.934.842,1.728,,,,
114,One Way or Another (Teenage Kicks) - Instrumental,2.424.850,338,,,,
115,What Makes You Beautiful - Live,2.422.705,809,,,,
116,One Way or Another (Teenage Kicks) - Sharoque Remix,2.256.093,247,,,,
117,More Than This - Live,1.938.341,629,,,,
118,Up All Night - Live,1.627.315,488,,,,
119,Gotta Be You - Live,1.420.349,466,,,,
120,Best Song Ever - WestFunk & Steve Smart Remix,1.336.137,192,,,,
121,Gotta Be You - Steve Smart & Westfunk Remix,574.666,178,,,,
122,Gotta Be You - Mojam Remix,484.021,153,,,,
123,Kiss You - Sharoque Remix,482.756,232,,,,
