,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Night Changes,2.476.443.110,1.169.461,,,,
2,Story of My Life,1.871.190.348,818.398,,,,
3,What Makes You Beautiful,1.815.671.634,795.838,,,,
4,Drag Me Down,1.374.468.116,347.738,,,,
5,Perfect,1.216.494.094,553.764,,,,
6,Steal My Girl,1.188.319.646,627.383,,,,
7,18,920.117.651,418.429,,,,
8,You & I,846.245.890,478.846,,,,
9,Best Song Ever,770.220.880,273.776,,,,
10,Little Things,712.858.112,123.564,,,,
11,History,668.690.445,104.683,,,,
12,They Don't Know About Us,664.373.015,219.688,,,,
13,Right Now,639.813.610,228.360,,,,
14,Kiss You,519.482.048,125.841,,,,
15,Live While We're Young,499.675.067,139.563,,,,
16,One Thing,486.822.766,242.921,,,,
17,Strong,409.889.423,145.029,,,,
18,No Control,357.668.099,113.911,,,,
19,Olivia,313.917.248,45.556,,,,
20,If I Could Fly,312.187.854,38.772,,,,
21,Stockholm Syndrome,270.749.635,59.729,,,,
22,Midnight Memories,266.108.253,56.628,,,,
23,Infinity,263.646.454,43.043,,,,
24,Love You Goodbye,238.125.669,34.562,,,,
25,Where Do Broken Hearts Go,234.300.684,118.164,,,,
26,Fool's Gold,226.736.844,46.543,,,,
27,Fireproof,224.390.243,58.543,,,,
28,A.M.,212.933.231,31.654,,,,
29,What a Feeling,212.780.308,45.829,,,,
30,Half a Heart,209.732.792,29.884,,,,
31,One Way or Another (Teenage Kicks),208.191.818,52.227,,,,
32,End of the Day,194.946.890,27.144,,,,
33,Happily,193.285.294,34.565,,,,
34,More Than This,190.950.153,38.491,,,,
35,Over Again,190.147.929,32.300,,,,
36,Walking in the Wind,188.247.384,40.132,,,,
37,Rock Me,175.404.796,75.279,,,,
38,Diana,174.082.455,41.687,,,,
39,Last First Kiss,173.877.344,36.783,,,,
40,Ready to Run,170.152.222,40.368,,,,
41,Temporary Fix,158.555.673,28.929,,,,
42,Girl Almighty,157.991.287,31.935,,,,
43,Up All Night,150.983.211,31.897,,,,
44,Gotta Be You,146.826.988,34.536,,,,
45,Wolves,143.798.099,25.964,,,,
46,I Would,139.516.455,30.813,,,,
47,Never Enough,134.325.763,19.867,,,,
48,I Want to Write You a Song,131.976.232,17.628,,,,
49,Don't Forget Where You Belong,129.438.194,25.297,,,,
50,C'mon C'mon,127.675.073,34.494,,,,
51,Through the Dark,125.978.681,34.006,,,,
52,She's Not Afraid,124.949.943,26.800,,,,
53,Hey Angel,122.087.408,22.319,,,,
54,Moments,121.661.623,24.375,,,,
55,Act My Age,111.970.024,18.336,,,,
56,Home,111.534.201,17.452,,,,
57,Heart Attack,109.193.996,20.287,,,,
58,I Wish,105.298.168,20.941,,,,
59,Better Than Words,103.049.875,17.240,,,,
60,Clouds,100.895.351,19.637,,,,
61,Taken,100.328.439,18.425,,,,
62,Long Way Down,99.928.728,16.293,,,,
63,Nobody Compares,98.973.614,20.470,,,,
64,Little White Lies,98.296.488,19.182,,,,
65,Spaces,97.018.393,15.635,,,,
66,Still The One,96.728.066,21.112,,,,
67,Little Black Dress,94.460.515,17.018,,,,
68,Change My Mind,93.255.335,18.707,,,,
69,Summer Love,91.314.358,14.342,,,,
70,I Want,87.192.674,15.973,,,,
71,Does He Know?,86.340.227,18.673,,,,
72,Once in a Lifetime,85.416.151,15.326,,,,
73,Why Don't We Go There,83.866.847,15.608,,,,
74,Change Your Ticket,82.670.338,18.319,,,,
75,Back For You,79.378.193,16.575,,,,
76,Magic,77.995.976,26.137,,,,
77,Loved You First,76.826.094,16.048,,,,
78,Stand Up,75.122.404,14.656,,,,
79,Something Great,74.751.773,17.547,,,,
