"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Dusk Till Dawn (feat. Sia) - Radio Edit",2170989986,691676,,,,
"I Don’t Wanna Live Forever (Fifty Shades Darker)",2087696184,669880,,,,
PILLOWTALK,1689162990,695072,,,,
"Trampoline (with ZAYN)",593267551,64488,,,,
"A Whole New World (End Title) - From ""Aladdin""",380247270,49080,,,,
"Let Me",356947581,49723,,,,
"Still Got Time (feat. PARTYNEXTDOOR)",302505377,13358,,,,
"LIKE I WOULD",287983091,26239,,,,
"fOoL fOr YoU",262104066,30384,,,,
Entertainer,219614262,33796,,,,
"There You Are",201286544,37159,,,,
Better,174370666,14295,,,,
Vibez,171004605,19084,,,,
"wRoNg (feat. Kehlani)",164625896,27007,,,,
"Good Years",162594629,8419,,,,
TiO,154630659,43094,,,,
"EYES CLOSED (with ZAYN)",136803391,394916,,,,
"Cruel (feat. ZAYN)",130587771,11254,,,,
"iT's YoU",124096573,13536,,,,
Flames,108309909,8900,,,,
Sweat,101700330,42328,,,,
BeFoUr,89770467,12848,,,,
"Back To Sleep REMIX (feat. Usher & ZAYN)",79290842,8562,,,,
"Love Like This",74981090,16314,,,,
sHe,73922757,12687,,,,
dRuNk,72872981,29804,,,,
Fingers,72023743,4518,,,,
"Too Much (feat. Timbaland)",71373426,5181,,,,
BoRdErSz,68892277,17148,,,,
"Dusk Till Dawn (feat. Sia) - Brooks Remix",59781352,3210,,,,
"rEaR vIeW",56708194,7716,,,,
Tightrope,53004287,10845,,,,
"No Candle No Light (feat. Nicki Minaj)",52439277,3101,,,,
"Rumors (feat. ZAYN)",50371612,10515,,,,
Rainberry,48524519,4381,,,,
Common,48219153,11506,,,,
"Back To Life",41426848,18646,,,,
Stardust,38494731,27302,,,,
Outside,33817160,6617,,,,
"What I Am",33607713,12877,,,,
"Sour Diesel",32969511,3550,,,,
lUcOzAdE,32853104,3950,,,,
"SHE DON'T LOVE ME",32804894,4305,,,,
"To Begin Again",31630808,4363,,,,
BLUE,29970046,3182,,,,
BRIGHT,29790300,3417,,,,
Tonight,28642513,7484,,,,
tRuTh,27503273,3505,,,,
"PILLOWTALK - the living room session",27359122,770,,,,
Alienated,26474288,12390,,,,
"MiNd Of MiNdd (Intro)",25825629,3146,,,,
"Flight Of The Stars",25796417,5338,,,,
Natural,25509304,4242,,,,
"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24897708,583,,,,
"INTERMISSION: fLoWer",23396231,2463,,,,
Connexion,22998631,2504,,,,
Unfuckwitable,22439315,5034,,,,
"When Love's Around (feat. Syd)",22299697,3644,,,,
Calamity,21906158,3058,,,,
"River Road",21738363,3107,,,,
"Tu hai kahan (feat. ZAYN)",21266894,2356,,,,
"I Don't Mind",20936415,4062,,,,
"Talk To Me",20782993,3864,,,,
Insomnia,20237710,3350,,,,
"PILLOWTALK REMIX (feat. Lil Wayne)",20187163,1215,,,,
"Un mundo ideal (Versión Créditos)",20176345,3680,,,,
"If I Got You",19967339,3896,,,,
"Windowsill (feat. Devlin)",19916927,2855,,,,
Imprint,19869855,3570,,,,
Satisfaction,19042046,2786,,,,
Scripted,18817416,4100,,,,
wHo,17548071,2241,,,,
"Stand Still",17292203,2717,,,,
"You Wish You Knew",15235219,2482,,,,
"All That",14881679,2541,,,,
"LIKE I WOULD - The White Panda Remix",14604855,449,,,,
"Lied To",14094269,14777,,,,
"Icarus Interlude",13468093,2203,,,,
"Good Guy",13203216,2211,,,,
Freedun,13125151,682,,,,
"Dusk Till Dawn (feat. Sia) - Luca Lush Remix",12514269,289,,,,
"Fresh Air",11098575,1795,,,,
"Die For Me",10685373,230983,,,,
Dreamin,10471631,6613,,,,
"Dusk Till Dawn (feat. Sia)",9660329,3395,,,,
"False Starts",8965811,9937,,,,
"My Woman",8014442,4593,,,,
"Trampoline - Joel Corry Remix",7954359,384,,,,
"Birds On A Cloud",7273639,6504,,,,
Grateful,6909704,4028,,,,
Angel,6724034,1044,,,,
"How It Feels",6720931,3728,,,,
"Something In The Water",6580680,4242,,,,
"Flames - Steve Aoki Remix",6088046,400,,,,
"Shoot At Will",5754779,3440,,,,
"Concrete Kisses",5688593,4025,,,,
"Flames - R3HAB & Skytech VIP Remix",5620443,318,,,,
"LIKE I WOULD - Troyboi Remix",5568840,899,,,,
"The Time",5530139,3987,,,,
"Flames - GATTÜSO Remix",5365558,196,,,,
"Gates Of Hell",4930695,2734,,,,
"Fuchsia Sea",4826805,3149,,,,
"Trampoline - Dave Audé Remix",4708442,145,,,,
"Fire Inside",4445526,1031,,,,
"Flames - Frank Walker Remix",4369007,245,,,,
"Ignorance Ain't Bliss - Demo",3933984,3764,,,,
"In The Bag",3703287,3366,,,,
"LIKE I WOULD - Dave Audé Mix",3468475,130,,,,
Unf**kwitable,3428375,270,,,,
"Love Like This - Mura Masa Remix",2726755,432,,,,
"LIKE I WOULD - Oliver Nelson Remix",2720016,148,,,,
Gave,2677138,2941,,,,
"LIKE I WOULD - Lenno Remix",1642798,52,,,,
"EYES CLOSED (with ZAYN) - 2X",1533703,5567,,,,
"LIKE I WOULD - Rytmeklubben Remix",1433127,45,,,,
"Alienated - Demo",1225345,997,,,,
"LIKE I WOULD - Sharam Jey Remix",1195659,48,,,,
"EYES CLOSED (with ZAYN) - 0.5X",1093727,2355,,,,
"EYES CLOSED (with ZAYN) - BARE",949863,2700,,,,
"Trampoline (Joel Corry Remix) - Extended Mix",545608,52,,,,
"EYES CLOSED (with ZAYN) - UNVEILED",359836,1429,,,,
