Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
"This Town",1190681244,247288,1189892562,,,,
"Slow Hands",1067350003,103636,1067001005,,,,
"What A Time",881661368,131724,,,,,
"Too Much To Ask",531434884,32993,531326714,,,,
"Nice To Meet Ya",371418790,27408,371318117,,,,
"Moral of the Story (feat. Niall Horan) (Bonus Track)",348000148,40564,,,,,
"Put A Little Love On Me",323208475,36819,323082913,,,,
Heaven,310394438,61880,310176467,,,,
"Black And White",297576452,29613,297479588,,,,
"Our Song",274948206,37982,,,,,
"No Judgement",207246339,11378,207203749,,,,
"Seeing Blind",178752650,14637,178702063,,,,
Flicker,160568296,17993,160507756,,,,
"On The Loose",117403323,12831,117359060,,,,
Meltdown,92505764,13169,92461183,,,,
Still,87503313,17711,87444348,,,,
"Heartbreak Weather",81692239,15367,81639284,,,,
"Slow Hands - Acoustic",76929331,5998,76908480,,,,
"Fool's Gold - Recorded At RAK Studios, London",67668926,5913,,,,,
"Paper Houses",63411029,7168,63388422,,,,
"Small Talk",63399329,15995,63349004,,,,
Mirrors,55381821,7715,55355556,,,,
Everywhere,53230459,10657,53191555,,,,
"The Show",49031672,13105,48986393,,,,
"Too Much To Ask - Acoustic",43238266,2850,43227586,,,,
"Finally Free - From ""Smallfoot""",42343209,4572,42328350,,,,
"Dear Patience",42273180,6299,42251661,,,,
"Since We're Alone",42246624,6290,42225771,,,,
"Fire Away",38873513,4906,38858449,,,,
"Cross Your Mind",38726022,7894,38700076,,,,
"Everywhere (BBC Children In Need)",37715856,4356,37700818,,,,
"On My Own",37185085,4146,37171166,,,,
"Arms Of A Stranger",34881217,5615,34861881,,,,
"You And Me",34649539,3723,34636981,,,,
"Must Be Love",34074883,14779,34021265,,,,
"San Francisco",31850573,5231,31833059,,,,
"The Tide",31714333,3369,31703657,,,,
"Bend The Rules",31697651,4613,31682611,,,,
"New Angel",29619499,5134,29602304,,,,
"You Could Start A Cult (with Lizzy McAlpine)",25886505,10739,25851431,,,,
"If You Leave Me",25230785,6992,25207687,,,,
Science,23496620,7860,23472257,,,,
"Lover - Recorded at Air Studios, London",22875185,2655,,,,,
"You Could Start A Cult",21959135,5495,21941624,,,,
"This Town - Tiёsto Remix",21958064,571,21956050,,,,
"Never Grow Up",21941803,6387,21922328,,,,
"Save My Life",20740748,5929,20719648,,,,
"On A Night Like Tonight",20215843,4931,20199926,,,,
"Nice To Meet Ya - Diplo Remix",17233617,826,17230586,,,,
"So Long feat. The RTÉ Concert Orchestra - Live",14593653,2102,14586816,,,,
"So Long - Live",14586816,2706,,,,,
"Slow Hands - Basic Tape Remix",14348691,674,14346296,,,,
"Black And White - Stripped",13816478,2482,13809089,,,,
"Drive Safe",13543346,371351,,,,,
"Heaven - Acoustic",10711514,1663,10705615,,,,
"Something In The Orange - Live From Spotify Studios",10436283,5071,10420568,,,,
"On The Loose - Alternate Version",10381337,567,10379252,,,,
"This Town - Live, 1 Mic 1 Take",9923493,668,,,,,
"Flicker feat. The RTÉ Concert Orchestra - Live",8149148,671,8146828,,,,
"Flicker - Live",8146828,991,,,,,
"This Town feat. The RTÉ Concert Orchestra - Live",7987758,934,7985129,,,,
"This Town - Live",7985129,943,,,,,
"Our Song - Acoustic",7587825,3006,,,,,
"Too Much To Ask - Recorded At RAK Studios, London",6780977,355,,,,,
"Paper Houses feat. The RTÉ Concert Orchestra - Live",6746032,476,6744434,,,,
"Paper Houses - Live",6744434,646,,,,,
"On The Loose - Basic Tape Remix",6707786,207,6707016,,,,
"The Tide feat. The RTÉ Concert Orchestra - Live",5990817,405,5989481,,,,
"The Tide - Live",5989481,630,,,,,
"The Show (with John Legend)",5778603,1293,5774080,,,,
"Old Tricks",5548934,14673,,,,,
"You And Me feat. The RTÉ Concert Orchestra - Live",5391831,367,5390613,,,,
"You And Me - Live",5390613,473,,,,,
"On The Loose - Acoustic",5364081,373,5362667,,,,
"No Judgement - Acoustic",5037817,744,5035426,,,,
"Too Much To Ask - Cedric Gervais Remix",4912906,109,4912459,,,,
"If You Leave Me / Everybody Wants To Rule The World - Live From Electric Picnic",4471417,1715,4465566,,,,
"Our Song - Luca Schreiner Remix",3764038,202,,,,,
"Nice To Meet Ya - Stripped",3652233,558,3650316,,,,
Dress,3350163,3594,3339345,,,,
"Meltdown - Acoustic",3293257,812,3290670,,,,
Nothing,3104845,4270,3091084,,,,
"You Could Start A Cult - Live from Spotify Studios",2832063,1043,2828556,,,,
"Too Much To Ask feat. The RTÉ Concert Orchestra - Live",2758700,355,2757483,,,,
"Fire Away feat. The RTÉ Concert Orchestra - Live",2730767,465,2729453,,,,
"No Judgement - Steve Void Remix",2423839,65,2423636,,,,
"Slow Hands - Jay Pryor Remix",2389321,123,2388932,,,,
"Seeing Blind feat. The RTÉ Concert Orchestra - Live",2357275,277,2356320,,,,
"This Town - Cheat Codes Remix",2182395,54,2182173,,,,
"No Judgement - Recorded Live at Air Studios, London",1939470,539,,,,,
"Small Talk - Live From Madison Square Garden",1925767,972,1922367,,,,
"Black And White - Oliver Nelson Remix",1815581,83,1815320,,,,
"On The Loose - slenderbodies Remix",1755266,54,1755037,,,,
"Science - Live From Spotify Studios",1544235,656,1542330,,,,
"This Town - GOLDHOUSE Remix",1518082,43,1517943,,,,
"Heaven - Live From Madison Square Garden",1448355,641,1446235,,,,
"Too Much To Ask - TRU Concept Remix",1282676,179,1281895,,,,
"This Town - Live From Madison Square Garden",1145146,659,1142970,,,,
"This Town - Live from Spotify Studios",1110980,339,1109951,,,,
"Meltdown - Stripped",1063123,383,1061874,,,,
"Still - Live From Madison Square Garden",1004823,596,1002999,,,,
"This Town - Nikö Blank Remix",988355,73,988109,,,,
"Our Song - Just Kiddin Remix",901959,82,,,,,
"This Town - Cabo San Remix",898979,35,898857,,,,
"Slow Hands - Live From Madison Square Garden",854585,471,853000,,,,
"Heaven - Live from Spotify Studios",844152,292,843210,,,,
"Black And White - Live From Madison Square Garden",820346,454,818786,,,,
"On A Night Like Tonight - Live From Madison Square Garden",808244,404,806908,,,,
"Heaven - Live From Electric Picnic",806713,239,805895,,,,
"Small Talk - Live at the Royal Albert Hall",798467,647,796486,,,,
"Science - Live From Madison Square Garden",778276,506,776722,,,,
"If You Leave Me - Live From Madison Square Garden",759623,394,758258,,,,
"San Francisco - Live From Madison Square Garden",745008,423,743615,,,,
"The Show - Live from Spotify Studios",738937,250,738195,,,,
"Our Song - Moka Nola Remix",725931,41,,,,,
"Save My Life - Live from Electric Picnic",720036,259,719201,,,,
"On A Night Like Tonight - Live",700878,259,700098,,,,
"Slow Hands - Live from Spotify Studios",644369,216,643735,,,,
"Black And White - Live from Spotify Studios",643524,249,642738,,,,
"Nice To Meet Ya - Live From Łódź",636440,302,635354,,,,
"Flicker - Live from Spotify Studios",617186,247,616427,,,,
"On A Night Like Tonight - Live from Spotify Studios",557137,192,556503,,,,
"Heartbreak Weather - Live From Dublin",520852,301,519844,,,,
"Put A Little Love On Me - Live From Paris",512299,292,511340,,,,
"On The Loose - Live From Dusseldorf",494224,283,493251,,,,
"Cross Your Mind - Live From Milan",488187,282,487199,,,,
"Meltdown - Live from Spotify Studios",474056,204,473411,,,,
"Dear Patience - Live at the Royal Albert Hall",453993,525,452438,,,,
"You Could Start A Cult - Live From Tokyo",452943,259,451695,,,,
"Put A Little Love On Me - Live from Vevo",414705,479,412697,,,,
"Flicker - Live From London",394500,301,393207,,,,
"Dear Patience - Live From Melbourne",380768,279,379471,,,,
"Save My Life - Live From Tampa",366459,284,365169,,,,
"Paper Houses - Live From Oslo",357218,264,355973,,,,
