,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,As It Was,4.196.604.403,1.304.988,,,,
2,Watermelon Sugar,3.174.216.360,629.051,,,,
3,Sign of the Times,2.001.235.645,933.423,,,,
4,Adore You,1.977.072.901,594.545,,,,
5,Falling,1.496.584.030,509.634,,,,
6,Late Night Talking,1.141.630.488,213.270,,,,
7,Golden,1.029.368.654,152.999,,,,
8,Lights Up,732.538.382,84.924,,,,
9,Matilda,703.389.758,449.286,,,,
10,Fine Line,684.155.574,324.376,,,,
11,Sweet Creature,671.864.696,82.621,,,,
12,Kiwi,590.754.032,78.099,,,,
13,Satellite,557.752.080,115.061,,,,
14,Music For a Sushi Restaurant,476.884.737,83.817,,,,
15,Little Freak,452.346.676,110.703,,,,
16,Daylight,447.239.909,79.005,,,,
17,Keep Driving,414.202.385,75.285,,,,
18,Cherry,410.613.807,87.091,,,,
19,From the Dining Table,401.017.198,76.903,,,,
20,She,377.292.814,56.256,,,,
21,Two Ghosts,366.265.075,55.580,,,,
22,Love Of My Life,354.364.458,70.400,,,,
23,Sunflower Vol. 6,338.297.797,48.061,,,,
24,Girl Crush - Recorded at Metropolis Studios London,315.138.664,45.592,,,,
25,Grapejuice,282.929.038,52.961,,,,
26,To Be So Lonely,281.581.041,41.019,,,,
27,Daydreaming,275.876.086,56.287,,,,
28,Cinema,274.150.713,62.518,,,,
29,Meet Me in the Hallway,257.311.979,38.259,,,,
30,Woman,252.204.968,35.152,,,,
31,Canyon Moon,239.945.921,31.531,,,,
32,Carolina,239.358.626,33.064,,,,
33,Only Angel,227.955.448,37.570,,,,
34,Treat People With Kindness,220.668.974,26.121,,,,
35,Ever Since New York,206.012.397,35.240,,,,
36,Boyfriends,189.714.084,35.031,,,,
37,Two Ghosts - Recorded at Metropolis Studios London,59.467.495,9.352,,,,
