,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
112,The Show - Live from Spotify Studios,725.064,292,,,,
113,* Our Song - Moka Nola Remix,723.726,42,,,,
114,San Francisco - Live From Madison Square Garden,720.143,508,,,,
115,Save My Life - Live from Electric Picnic,704.982,316,,,,
116,On A Night Like Tonight - Live,685.534,319,,,,
117,Slow Hands - Live from Spotify Studios,632.583,239,,,,
118,Black And White - Live from Spotify Studios,628.605,318,,,,
119,Nice To Meet Ya - Live From Łódź,616.733,415,,,,
120,Flicker - Live from Spotify Studios,603.024,260,,,,
121,On A Night Like Tonight - Live from Spotify Studios,545.209,240,,,,
122,Heartbreak Weather - Live From Dublin,503.696,386,,,,
123,Put A Little Love On Me - Live From Paris,494.942,355,,,,
124,On The Loose - Live From Dusseldorf,477.748,356,,,,
125,Cross Your Mind - Live From Milan,471.182,382,,,,
126,Meltdown - Live from Spotify Studios,462.066,237,,,,
127,You Could Start A Cult - Live From Tokyo,437.321,343,,,,
128,Dear Patience - Live at the Royal Albert Hall,425.767,544,,,,
129,Put A Little Love On Me - Live from Vevo,389.204,514,,,,
130,Flicker - Live From London,377.846,394,,,,
131,Dear Patience - Live From Melbourne,364.092,361,,,,
132,Save My Life - Live From Tampa,351.016,301,,,,
133,Paper Houses - Live From Oslo,341.249,329,,,,
