,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,This Town,1.175.069.186,292.296,,,,
2,Slow Hands,1.061.044.986,111.905,,,,
3,* What A Time,873.499.480,14.138,,,,
4,Too Much To Ask,529.179.877,43.129,,,,
5,Nice To Meet Ya,369.599.361,32.192,,,,
6,* Moral of the Story (feat. Niall Horan) (Bonus Track),345.713.498,41.873,,,,
7,Put A Little Love On Me,320.643.926,48.717,,,,
8,Heaven,306.343.141,74.773,,,,
9,Black And White,295.811.583,27.178,,,,
10,* Our Song,272.687.687,39.581,,,,
11,No Judgement,206.490.460,13.341,,,,
12,Seeing Blind,177.731.556,16.261,,,,
13,Flicker,159.391.526,22.223,,,,
14,On The Loose,116.546.838,15.791,,,,
15,Meltdown,91.588.062,14.938,,,,
16,Still,86.269.912,20.921,,,,
17,Heartbreak Weather,80.573.130,16.756,,,,
18,Slow Hands - Acoustic,76.561.322,7.036,,,,
19,Fool's Gold - Recorded At RAK Studios London,67.324.693,5.918,,,,
20,Paper Houses,62.988.982,6.793,,,,
21,Small Talk,62.327.997,14.268,,,,
22,Mirrors,54.872.253,7.308,,,,
23,Everywhere,52.540.144,9.140,,,,
24,The Show,48.097.590,16.324,,,,
25,Too Much To Ask - Acoustic,43.034.355,3.380,,,,
26,"Finally Free - From ""Smallfoot""",42.087.352,4.606,,,,
27,Dear Patience,41.866.055,6.372,,,,
28,Since We're Alone,41.859.123,6.411,,,,
29,Fire Away,38.590.347,4.768,,,,
30,Cross Your Mind,38.203.848,8.195,,,,
31,Everywhere (BBC Children In Need),37.447.349,5.275,,,,
32,On My Own,36.919.064,4.187,,,,
33,Arms Of A Stranger,34.515.945,5.338,,,,
34,You And Me,34.419.659,4.003,,,,
35,Must Be Love,33.000.769,15.759,,,,
36,San Francisco,31.527.645,5.144,,,,
37,The Tide,31.514.898,3.407,,,,
38,Bend The Rules,31.404.318,4.383,,,,
39,New Angel,29.285.872,5.423,,,,
40,You Could Start A Cult (with Lizzy McAlpine),25.180.617,15.246,,,,
41,If You Leave Me,24.770.962,6.845,,,,
42,Science,23.036.438,7.831,,,,
43,Lover - Recorded at Air Studios London,22.710.554,2.780,,,,
44,This Town - Tiёsto Remix,21.923.547,670,,,,
45,You Could Start A Cult,21.617.922,6.108,,,,
46,Never Grow Up,21.542.795,6.181,,,,
47,Save My Life,20.318.083,6.370,,,,
