,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Night Changes,2.441.182.090,1.291.311,,,,
2,Story of My Life,1.848.373.212,759.869,,,,
3,What Makes You Beautiful,1.791.790.227,805.843,,,,
4,Drag Me Down,1.364.459.587,384.752,,,,
5,Perfect,1.200.563.466,612.634,,,,
6,Steal My Girl,1.169.894.487,657.106,,,,
7,18,908.244.228,447.984,,,,
8,You & I,832.023.803,485.643,,,,
9,Best Song Ever,763.195.152,204.327,,,,
10,Little Things,709.333.040,134.511,,,,
11,History,665.653.098,124.291,,,,
12,They Don't Know About Us,657.954.276,257.397,,,,
13,Right Now,632.467.311,312.816,,,,
14,Kiss You,515.380.363,218.307,,,,
15,Live While We're Young,495.358.861,183.940,,,,
16,One Thing,479.643.903,272.071,,,,
17,Strong,405.657.167,160.351,,,,
18,No Control,354.032.203,173.707,,,,
19,Olivia,312.601.818,53.293,,,,
20,If I Could Fly,311.084.664,45.801,,,,
21,Stockholm Syndrome,268.937.655,70.926,,,,
22,Midnight Memories,264.417.929,64.193,,,,
23,Infinity,262.424.256,50.037,,,,
24,Love You Goodbye,237.098.187,43.709,,,,
25,Where Do Broken Hearts Go,230.665.956,147.125,,,,
26,Fool's Gold,225.383.310,55.405,,,,
27,Fireproof,222.613.549,67.843,,,,
28,A.M.,212.012.355,39.472,,,,
29,What a Feeling,211.447.393,52.450,,,,
30,Half a Heart,208.902.640,33.365,,,,
31,One Way or Another (Teenage Kicks),206.756.543,55.713,,,,
32,End of the Day,194.159.714,34.680,,,,
33,Happily,192.278.899,40.735,,,,
34,More Than This,189.854.749,42.661,,,,
35,Over Again,189.203.351,38.779,,,,
36,Walking in the Wind,187.136.258,46.688,,,,
37,Rock Me,173.044.121,103.718,,,,
38,Diana,172.883.999,49.575,,,,
39,Last First Kiss,172.808.619,44.899,,,,
40,Ready to Run,168.986.105,49.232,,,,
41,Temporary Fix,157.672.866,41.954,,,,
42,Girl Almighty,157.009.049,39.506,,,,
43,Up All Night,150.028.819,38.713,,,,
44,Gotta Be You,145.847.372,39.833,,,,
45,Wolves,142.980.796,35.990,,,,
46,I Would,138.622.530,36.336,,,,
47,Never Enough,133.723.286,24.826,,,,
48,I Want to Write You a Song,131.470.677,20.995,,,,
49,Don't Forget Where You Belong,128.704.208,30.905,,,,
50,C'mon C'mon,126.649.743,41.799,,,,
51,Through the Dark,125.026.308,42.111,,,,
52,She's Not Afraid,124.143.787,33.912,,,,
53,Hey Angel,121.386.432,28.684,,,,
54,Moments,120.970.179,28.384,,,,
55,Act My Age,111.432.117,22.565,,,,
56,Home,110.995.236,23.634,,,,
57,Heart Attack,108.546.661,28.843,,,,
58,I Wish,104.683.867,25.404,,,,
59,Better Than Words,102.535.785,21.426,,,,
60,Clouds,100.288.619,24.315,,,,
61,Taken,99.792.849,22.204,,,,
62,Long Way Down,99.462.009,20.656,,,,
63,Nobody Compares,98.394.204,23.603,,,,
64,Little White Lies,97.716.948,22.327,,,,
65,Spaces,96.564.572,19.510,,,,
66,Still The One,96.132.124,23.835,,,,
67,Little Black Dress,93.948.666,20.998,,,,
68,Change My Mind,92.701.187,22.932,,,,
69,Summer Love,90.914.179,16.354,,,,
70,I Want,86.708.381,20.006,,,,
71,Does He Know?,85.757.602,22.543,,,,
