Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
,"Song Title",Streams,Daily,,,,
1,"As It Was",4.258.231.157,1.426.424,,,,
2,"Watermelon Sugar",3.207.131.544,721.543,,,,
3,"Sign of the Times",2.047.044.916,983.235,,,,
4,"Adore You",2.013.399.843,788.291,,,,
5,Falling,1.521.488.048,474.880,,,,
6,"Late Night Talking",1.155.704.538,265.306,,,,
7,Golden,1.040.462.547,198.868,,,,
8,"Lights Up",739.267.344,94.288,,,,
9,Matilda,729.397.664,506.105,,,,
10,"Fine Line",701.417.654,310.843,,,,
11,"Sweet Creature",676.792.265,84.575,,,,
12,Kiwi,596.392.267,93.618,,,,
13,Satellite,568.784.941,181.503,,,,
14,"Music For a Sushi Restaurant",484.248.096,116.362,,,,
15,"Little Freak",460.695.726,136.537,,,,
16,Daylight,453.919.533,103.786,,,,
17,"Keep Driving",420.176.637,88.215,,,,
18,Cherry,417.106.539,106.145,,,,
19,"From the Dining Table",405.236.415,66.815,,,,
20,She,381.491.498,67.242,,,,
21,"Two Ghosts",370.519.649,62.802,,,,
22,"Love Of My Life",359.745.913,78.379,,,,
23,"Sunflower Vol. 6",342.541.440,60.563,,,,
24,"Girl Crush - Recorded at Metropolis Studios London",318.263.826,52.986,,,,
25,Grapejuice,288.438.221,69.359,,,,
26,"To Be So Lonely",285.251.374,48.775,,,,
27,Daydreaming,281.921.024,85.267,,,,
28,Cinema,281.524.840,105.878,,,,
29,"Meet Me in the Hallway",259.982.046,33.551,,,,
30,Woman,255.481.698,42.142,,,,
31,"Canyon Moon",243.076.926,42.414,,,,
32,Carolina,241.794.902,32.529,,,,
33,"Only Angel",231.282.077,43.384,,,,
34,"Treat People With Kindness",223.645.776,36.627,,,,
35,"Ever Since New York",209.119.645,39.438,,,,
36,Boyfriends,193.008.868,42.291,,,,
37,Aperture,84.163.563,1.510.243,,,,
38,"Two Ghosts - Recorded at Metropolis Studios London",59.908.594,5.338,,,,
=======,,,,
,"Song Title",Streams,Daily,,,,
1,"As It Was",4.258.231.157,1.426.424,,,,
2,"Watermelon Sugar",3.207.131.544,721.543,,,,
3,"Sign of the Times",2.047.044.916,983.235,,,,
4,"Adore You",2.013.399.843,788.291,,,,
5,Falling,1.521.488.048,474.880,,,,
6,"Late Night Talking",1.155.704.538,265.306,,,,
7,Golden,1.040.462.547,198.868,,,,
8,"Lights Up",739.267.344,94.288,,,,
9,Matilda,729.397.664,506.105,,,,
10,"Fine Line",701.417.654,310.843,,,,
11,"Sweet Creature",676.792.265,84.575,,,,
12,Kiwi,596.392.267,93.618,,,,
13,Satellite,568.784.941,181.503,,,,
14,"Music For a Sushi Restaurant",484.248.096,116.362,,,,
15,"Little Freak",460.695.726,136.537,,,,
16,Daylight,453.919.533,103.786,,,,
17,"Keep Driving",420.176.637,88.215,,,,
18,Cherry,417.106.539,106.145,,,,
19,"From the Dining Table",405.236.415,66.815,,,,
20,She,381.491.498,67.242,,,,
21,"Two Ghosts",370.519.649,62.802,,,,
22,"Love Of My Life",359.745.913,78.379,,,,
23,"Sunflower Vol. 6",342.541.440,60.563,,,,
24,"Girl Crush - Recorded at Metropolis Studios London",318.263.826,52.986,,,,
25,Grapejuice,288.438.221,69.359,,,,
26,"To Be So Lonely",285.251.374,48.775,,,,
27,Daydreaming,281.921.024,85.267,,,,
28,Cinema,281.524.840,105.878,,,,
29,"Meet Me in the Hallway",259.982.046,33.551,,,,
30,Woman,255.481.698,42.142,,,,
31,"Canyon Moon",243.076.926,42.414,,,,
32,Carolina,241.794.902,32.529,,,,
33,"Only Angel",231.282.077,43.384,,,,
34,"Treat People With Kindness",223.645.776,36.627,,,,
35,"Ever Since New York",209.119.645,39.438,,,,
36,Boyfriends,193.008.868,42.291,,,,
37,Aperture,84.163.563,1.510.243,,,,
38,"Two Ghosts - Recorded at Metropolis Studios London",59.908.594,5.338,,,,
">>>>>>> b99360b49daebb7d59fc17adfdd138118601ca90",,,,
