Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
1,"Night Changes",2491317480,1168153,,,,
2,"Story of My Life",1881095186,814243,,,,
3,"What Makes You Beautiful",1825999143,774329,,,,
4,"Drag Me Down",1379104503,356242,,,,
5,Perfect,1223392516,583198,,,,
6,"Steal My Girl",1196295431,659221,,,,
7,18,925577106,411866,,,,
8,"You & I",852372914,514702,,,,
9,"Best Song Ever",774105158,336195,,,,
10,"Little Things",714429515,123037,,,,
11,History,670003612,98186,,,,
12,"They Don't Know About Us",667278827,231664,,,,
13,"Right Now",642800207,241347,,,,
14,"Kiss You",521072853,116995,,,,
15,"Live While We're Young",501414979,128994,,,,
16,"One Thing",489697459,204744,,,,
17,Strong,411807498,163402,,,,
18,"No Control",358981167,100542,,,,
19,Olivia,314505879,45691,,,,
20,"If I Could Fly",312670080,38284,,,,
21,"Stockholm Syndrome",271483324,57554,,,,
22,"Midnight Memories",266815270,54531,,,,
23,Infinity,264183420,43203,,,,
24,"Love You Goodbye",238565503,36190,,,,
25,"Where Do Broken Hearts Go",235590848,103831,,,,
26,"Fool's Gold",227356361,52134,,,,
27,Fireproof,225150380,61887,,,,
28,"What a Feeling",213351284,46453,,,,
29,A.M.,213324159,31448,,,,
30,"Half a Heart",210111696,30506,,,,
31,"One Way or Another (Teenage Kicks)",208829846,48011,,,,
32,"End of the Day",195300563,28768,,,,
33,Happily,193744091,36745,,,,
34,"More Than This",191429431,38127,,,,
35,"Over Again",190568572,32656,,,,
36,"Walking in the Wind",188757414,41300,,,,
37,"Rock Me",176326829,72905,,,,
38,Diana,174630343,41716,,,,
39,"Last First Kiss",174359904,38837,,,,
40,"Ready to Run",170664187,43427,,,,
41,"Temporary Fix",158929850,30674,,,,
42,"Girl Almighty",158408183,33144,,,,
43,"Up All Night",151402419,32617,,,,
44,"Gotta Be You",147267773,35213,,,,
45,Wolves,144143896,29611,,,,
46,"I Would",139907012,32171,,,,
47,"Never Enough",134580543,20114,,,,
48,"I Want to Write You a Song",132203573,18140,,,,
49,"Don't Forget Where You Belong",129759913,25621,,,,
50,"C'mon, C'mon",128108801,38563,,,,
51,"Through the Dark",126426140,38194,,,,
52,"She's Not Afraid",125318529,30935,,,,
53,"Hey Angel",122382628,23402,,,,
54,Moments,121968155,24816,,,,
55,"Act My Age",112204764,18720,,,,
56,Home,111768236,18689,,,,
57,"Heart Attack",109458014,20569,,,,
58,"I Wish",105576413,22515,,,,
59,"Better Than Words",103283450,18330,,,,
60,Clouds,101159711,20931,,,,
61,Taken,100566136,18856,,,,
62,"Long Way Down",100136688,17284,,,,
63,"Nobody Compares",99258025,23647,,,,
64,"Little White Lies",98554522,20519,,,,
65,Spaces,97219650,16577,,,,
66,"Still The One",97005423,21141,,,,
67,"Little Black Dress",94681393,16881,,,,
68,"Change My Mind",93500269,19446,,,,
69,"Summer Love",91498531,14295,,,,
70,"I Want",87402094,16836,,,,
71,"Does He Know?",86596162,21718,,,,
72,"Once in a Lifetime",85610407,15224,,,,
73,"Why Don't We Go There",84078286,16413,,,,
74,"Change Your Ticket",82911090,19943,,,,
75,"Back For You",79591366,17502,,,,
76,Magic,78343255,26297,,,,
77,"Loved You First",77051312,17436,,,,
78,"Stand Up",75314574,14956,,,,
79,"Something Great",75025019,18851,,,,
80,"Same Mistakes",74076473,14287,,,,
81,Alive,72858725,12764,,,,
82,Illusion,71432557,14812,,,,
83,"Tell Me a Lie",71370175,15518,,,,
84,"Stole My Heart",70793060,16324,,,,
85,"Na Na Na",68874283,14899,,,,
86,"I Should Have Kissed You",63037086,15200,,,,
87,"Everything About You",62127461,12295,,,,
88,"Save You Tonight",57175897,11465,,,,
89,"Truly Madly Deeply",48256667,14236,,,,
90,"Night Changes - Live Acoustic Session",46767174,6489,,,,
91,Irresistible,44213232,14951,,,,
92,"Another World",37697319,8492,,,,
93,"One Thing - Acoustic",35881523,6251,,,,
94,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",33351863,6882,,,,
95,"You & I - Piano Version",32313130,3151,,,,
96,"Steal My Girl - Acoustic Version",25466951,2433,,,,
97,"You & I - Radio Edit",21586838,3833,,,,
98,"Perfect (feat. Matoma) - Matoma Remix",19914834,611,,,,
99,"Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix",13644453,341,,,,
100,"Steal My Girl - Live Acoustic Session",11976185,966,,,,
101,"Best Song Ever - Kat Krazy Remix",8721171,845,,,,
102,"Night Changes - Afterhrs Remix",8364973,605,,,,
103,"You & I - Big Payno Remix",7215422,297,,,,
104,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6867578,447,,,,
105,"C'mon, C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5987383,1618,,,,
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5072409,776,,,,
107,"Story of My Life - Live X Factor Performance",4776751,843,,,,
108,"Live While We're Young - The Jump Smokers Remix",4652664,244,,,,
109,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4426445,205,,,,
110,"Best Song Ever - Jump Smokers Remix",4302994,395,,,,
111,"I Want - Live",4278365,573,,,,
112,"Live While We're Young - Dave Aude Remix",3702397,253,,,,
113,"You & I - Duet Version",3045987,2093,,,,
114,"What Makes You Beautiful - Live",2463672,819,,,,
115,"One Way or Another (Teenage Kicks) - Instrumental",2439925,291,,,,
116,"One Way or Another (Teenage Kicks) - Sharoque Remix",2269469,237,,,,
117,"More Than This - Live",1970404,620,,,,
118,"Up All Night - Live",1657776,589,,,,
119,"Gotta Be You - Live",1442987,394,,,,
120,"Best Song Ever - WestFunk & Steve Smart Remix",1346678,211,,,,
121,"Gotta Be You - Steve Smart & Westfunk Remix",583837,169,,,,
122,"Kiss You - Sharoque Remix",492954,217,,,,
123,"Gotta Be You - Mojam Remix",491931,128,,,,
