Rank,"Song Title",Streams,Daily
1,"Friendships (Lost My Love)",174838380,52698
56,Paradise,426849,345
3,Remedy,133577269,36414
4,"Far Away From Home",117585592,10382
5,Follow,109732944,25219
6,"Space Melody (Edward Artemyev) (feat. Leony)",94716667,15257
7,"Faded Love",93131554,21254
8,"Easy Peasy",89968614,24487
9,"Brother Louie",85138190,8000
10,"I Can Feel",76883645,25360
11,"Fire - Official UEFA EURO 2024 Song",74016952,26733
12,"Merry Christmas Everyone",39554568,575
13,"Somewhere in Between",29094509,7056
14,"Holding On",27025264,13103
15,"Simple Life",26223948,16404
16,"Crazy Love",24366198,6113
17,"Rock n Roll",21080505,16919
18,Raindrops,20677088,1885
19,"Monsoon (feat. Tokio Hotel)",20090488,6622
20,"By Your Side (In My Mind)",17652854,23021
21,"Tell Me Where U Go",15137341,11535
22,"Waking Up",14685516,5795
23,"Summer Of Love",13935676,6014
24,"Show Me Love - Dimitri Vegas Edit",13805494,1076
25,"Friendships (Lost My Love) - ATB Remix",13261447,2778
26,"City Lights",8697491,2598
27,"Stop The World",8254016,1140
28,"Don't Worry",4238827,39020
29,"By Your Side (In My Mind) Part II",4175558,3304
30,"Home to Me",3578637,678
31,"Follow - VIZE Remix",3333798,530
32,"Miracle - Edit",2621934,846
33,"Holding On - Macon's HYPERTECHNO Remix",2550868,913
34,"Where Do You Think You Are Going",2546621,138
35,"Merry Holiday (Jingle Bells)",2485879,30
36,"Friendships (Lost My Love) - Gabry Ponte Remix",2230744,408
37,"Tell Me Where U Go (feat. Leony) - Tiësto VIP Mix",2101609,1784
38,"BANG BANG",1941328,2998
39,"The Weekend",1703658,6238
40,"Raindrops - Intl. Version",1653485,703
41,"Rock n Roll (Matt Sassari Remix)",1343424,957
42,"Hypnotic Tango (feat. Leony) - VIZE Edit",1165102,159
43,"Shooting Stars",1109641,2557
44,"Where Do You Think You Are Going (Harris & Ford Remix)",829924,55
45,Lifeline,786040,970
46,"Oldschool Love",707602,1975
47,"By Your Side (In My Mind) Part II [Felix Jaehn Remix]",649113,451
48,"Tell Me Where U Go - goddard. Edit",632576,602
49,"Another Goodbye",601509,604
50,"Said It All - Jax Jones Rework",589692,2629
51,"Say My Name",572121,534
52,"Merry Christmas Everyone - Mixed",534017,33
53,"Never Let Me Down",523122,364
54,"Tell Me Where U Go - DAMIANO x Playmen Edit",522024,295
55,"Love On the Line",477395,385
56,"Waking Up - ESSEL Remix",415253,44
57,"White Lies",384653,296
58,"Simple Life - WITH U & CRÜPO Remix",371581,87
63,"City Lights (Mixed) - Olly James Remix",284909,75
60,Afterglow,348432,1090
61,"Remedy - Acoustic Version",341821,285
62,"Your Way",334949,822
63,Miracle,267363,134
64,"What If",223697,406
65,"One Last Time",215949,176
66,"One in a Million",200427,634
67,"Thank You (Not so Bad)",198043,159
68,"Above and Beyond",194076,167
69,"Faded Love - Acoustic Version",188728,159
70,"I'll Be Alright - Intro",183148,267
71,"Count on Me",176580,677
72,"City Lights (Mixed)",175608,54
73,"Running Through the Night",174543,406
74,"Bad Love",156282,178
75,"No Hard Feelings",152913,130
76,"Cross My Mind",138051,111
77,"Working Title",119360,106
