,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,This Town,1.177.599.082,284.829,,,,
2,Slow Hands,1.062.017.530,106.174,,,,
3,* What A Time,874.743.158,140.855,,,,
4,Too Much To Ask,529.528.342,37.516,,,,
5,Nice To Meet Ya,369.887.352,30.975,,,,
6,* Moral of the Story (feat. Niall Horan) (Bonus Track),346.083.207,42.696,,,,
7,Put A Little Love On Me,321.057.745,45.873,,,,
8,Heaven,306.987.414,68.433,,,,
9,Black And White,296.061.813,27.150,,,,
10,* Our Song,273.021.642,38.293,,,,
11,No Judgement,206.608.901,12.583,,,,
12,Seeing Blind,177.879.498,16.937,,,,
13,Flicker,159.577.719,20.995,,,,
14,On The Loose,116.676.747,14.225,,,,
15,Meltdown,91.719.403,14.544,,,,
16,Still,86.457.957,21.762,,,,
17,Heartbreak Weather,80.729.273,17.922,,,,
18,Slow Hands - Acoustic,76.621.881,6.273,,,,
19,Fool's Gold - Recorded At RAK Studios London,67.377.821,6.207,,,,
20,Paper Houses,63.055.903,7.527,,,,
21,Small Talk,62.465.779,16.782,,,,
22,Mirrors,54.943.531,8.359,,,,
23,Everywhere,52.631.334,10.778,,,,
24,The Show,48.232.810,15.219,,,,
25,Too Much To Ask - Acoustic,43.066.663,3.143,,,,
26,"Finally Free - From ""Smallfoot""",42.125.712,4.423,,,,
27,Dear Patience,41.925.391,7.605,,,,
28,Since We're Alone,41.919.124,6.198,,,,
29,Fire Away,38.635.278,5.436,,,,
30,Cross Your Mind,38.279.631,8.498,,,,
31,Everywhere (BBC Children In Need),37.490.591,4.452,,,,
32,On My Own,36.959.679,4.277,,,,
33,Arms Of A Stranger,34.567.632,6.027,,,,
34,You And Me,34.455.618,4.290,,,,
35,Must Be Love,33.136.513,15.066,,,,
36,San Francisco,31.579.096,5.520,,,,
37,The Tide,31.546.508,3.463,,,,
38,Bend The Rules,31.445.675,5.119,,,,
39,New Angel,29.332.777,5.293,,,,
40,You Could Start A Cult (with Lizzy McAlpine),25.299.153,12.727,,,,
41,If You Leave Me,24.837.683,7.648,,,,
42,Science,23.109.137,8.619,,,,
43,Lover - Recorded at Air Studios London,22.735.610,2.708,,,,
44,This Town - Tiёsto Remix,21.929.135,573,,,,
45,You Could Start A Cult,21.671.588,6.342,,,,
46,Never Grow Up,21.601.507,6.742,,,,
47,Save My Life,20.380.222,6.628,,,,
48,On A Night Like Tonight,19.946.774,5.298,,,,
49,Nice To Meet Ya - Diplo Remix,17.187.992,929,,,,
50,So Long feat. The RTÉ Concert Orchestra - Live,14.488.231,2.223,,,,
51,So Long - Live,14.486.008,2.492,,,,
52,Slow Hands - Basic Tape Remix,14.315.344,671,,,,
53,Black And White - Stripped,13.706.747,2.378,,,,
54,Heaven - Acoustic,10.617.103,2.129,,,,
