Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
﻿,"Song Title",Streams ▾,Daily,,,,
1,"This Town",1.189.588.831,317.963,,,,
2,"Slow Hands",1.066.871.362,126.628,,,,
3,"* What A Time",881.045.586,179.581,,,,
4,"Too Much To Ask",531.285.985,41.086,,,,
5,"Nice To Meet Ya",371.281.620,37.372,,,,
6,"* Moral of the Story (feat. Niall Horan) (Bonus Track)",347.821.149,47.849,,,,
7,"Put A Little Love On Me",323.037.452,47.931,,,,
8,Heaven,310.099.135,80.445,,,,
9,"Black And White",297.445.420,35.391,,,,
10,"* Our Song",274.763.893,47.664,,,,
11,"No Judgement",207.187.672,16.003,,,,
12,"Seeing Blind",178.681.587,22.472,,,,
13,Flicker,160.485.277,23.398,,,,
14,"On The Loose",117.340.342,18.407,,,,
15,Meltdown,92.444.061,18.423,,,,
16,Still,87.419.131,26.791,,,,
17,"Heartbreak Weather",81.618.187,21.719,,,,
18,"Slow Hands - Acoustic",76.900.763,7.543,,,,
19,"Fool's Gold - Recorded At RAK Studios London",67.642.862,7.180,,,,
20,"Paper Houses",63.379.731,9.522,,,,
21,"Small Talk",63.328.691,20.316,,,,
22,Mirrors,55.344.297,11.957,,,,
23,Everywhere,53.177.059,15.561,,,,
24,"The Show",48.966.633,21.113,,,,
25,"Too Much To Ask - Acoustic",43.223.080,4.645,,,,
26,"Finally Free - From ""Smallfoot""",42.323.032,5.585,,,,
27,"Dear Patience",42.243.484,8.767,,,,
28,"Since We're Alone",42.217.995,7.993,,,,
29,"Fire Away",38.852.862,6.050,,,,
30,"Cross Your Mind",38.689.163,10.848,,,,
31,"Everywhere (BBC Children In Need)",37.695.115,5.594,,,,
32,"On My Own",37.165.101,6.398,,,,
33,"Arms Of A Stranger",34.851.815,9.695,,,,
34,"You And Me",34.632.424,4.800,,,,
35,"Must Be Love",33.999.460,22.548,,,,
36,"San Francisco",31.826.550,7.255,,,,
37,"The Tide",31.698.591,4.785,,,,
38,"Bend The Rules",31.676.106,6.975,,,,
39,"New Angel",29.595.163,7.534,,,,
40,"You Could Start A Cult (with Lizzy McAlpine)",25.838.644,13.773,,,,
41,"If You Leave Me",25.198.158,9.911,,,,
