,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,This Town,1.175.344.764,275.578,,,,
2,Slow Hands,1.061.146.522,101.536,,,,
3,* What A Time,873.631.903,132.423,,,,
4,Too Much To Ask,529.216.022,36.145,,,,
5,Nice To Meet Ya,369.628.648,29.287,,,,
6,* Moral of the Story (feat. Niall Horan) (Bonus Track),345.754.934,41.436,,,,
7,Put A Little Love On Me,320.687.676,43.750,,,,
8,Heaven,306.407.714,64.573,,,,
9,Black And White,295.837.313,25.730,,,,
10,* Our Song,272.721.466,33.779,,,,
11,No Judgement,206.502.564,12.104,,,,
12,Seeing Blind,177.746.464,14.908,,,,
13,Flicker,159.410.946,19.420,,,,
14,On The Loose,116.560.383,13.545,,,,
15,Meltdown,91.601.331,13.269,,,,
16,Still,86.290.539,20.627,,,,
17,Heartbreak Weather,80.588.636,15.506,,,,
18,Slow Hands - Acoustic,76.567.387,6.065,,,,
19,Fool's Gold - Recorded At RAK Studios London,67.330.413,5.720,,,,
20,Paper Houses,62.995.841,6.859,,,,
21,Small Talk,62.341.602,13.605,,,,
22,Mirrors,54.879.884,7.631,,,,
23,Everywhere,52.548.824,8.680,,,,
24,The Show,48.112.621,15.031,,,,
25,Too Much To Ask - Acoustic,43.037.247,2.892,,,,
26,"Finally Free - From ""Smallfoot""",42.091.522,4.170,,,,
27,Dear Patience,41.872.064,6.009,,,,
28,Since We're Alone,41.865.413,6.290,,,,
29,Fire Away,38.595.277,4.930,,,,
30,Cross Your Mind,38.211.780,7.932,,,,
31,Everywhere (BBC Children In Need),37.451.838,4.489,,,,
32,On My Own,36.922.939,3.875,,,,
33,Arms Of A Stranger,34.521.354,5.409,,,,
34,You And Me,34.423.322,3.663,,,,
35,Must Be Love,33.014.381,13.612,,,,
36,San Francisco,31.532.900,5.255,,,,
37,The Tide,31.518.159,3.261,,,,
38,Bend The Rules,31.408.592,4.274,,,,
39,New Angel,29.290.668,4.796,,,,
40,You Could Start A Cult (with Lizzy McAlpine),25.194.742,14.125,,,,
41,If You Leave Me,24.777.540,6.578,,,,
42,Science,23.044.579,8.141,,,,
43,Lover - Recorded at Air Studios London,22.713.201,2.647,,,,
44,This Town - Tiёsto Remix,21.924.123,576,,,,
45,You Could Start A Cult,21.623.974,6.052,,,,
46,Never Grow Up,21.549.138,6.343,,,,
47,Save My Life,20.324.523,6.440,,,,
48,On A Night Like Tonight,19.904.962,4.981,,,,
49,Nice To Meet Ya - Diplo Remix,17.180.459,862,,,,
50,So Long feat. The RTÉ Concert Orchestra - Live,14.470.891,2.108,,,,
51,So Long - Live,14.466.603,2.535,,,,
52,Slow Hands - Basic Tape Remix,14.309.247,738,,,,
53,Black And White - Stripped,13.688.774,2.224,,,,
54,Heaven - Acoustic,10.600.866,1.779,,,,
55,On The Loose - Alternate Version,10.345.142,645,,,,
56,Something In The Orange - Live From Spotify Studios,10.130.524,6.024,,,,
57,This Town - Live 1 Mic 1 Take,9.882.308,661,,,,
58,Flicker feat. The RTÉ Concert Orchestra - Live,8.097.770,1.115,,,,
59,Flicker - Live,8.095.602,1.376,,,,
60,This Town feat. The RTÉ Concert Orchestra - Live,7.942.338,798,,,,
61,This Town - Live,7.940.718,1.024,,,,
62,* Our Song - Acoustic,7.419.262,2.683,,,,
63,Too Much To Ask - Recorded At RAK Studios London,6.761.946,340,,,,
64,Paper Houses feat. The RTÉ Concert Orchestra - Live,6.716.341,516,,,,
65,Paper Houses - Live,6.715.308,625,,,,
