"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Love Like This - Mura Masa Remix",2726323,387,2726323,0,387,0
"LIKE I WOULD - Oliver Nelson Remix",2719868,144,2719868,0,144,0
Gave,2674197,2258,2674197,0,2258,0
"LIKE I WOULD - Lenno Remix",1642746,46,1642746,0,46,0
"EYES CLOSED (with ZAYN) - 2X",1528136,7259,1528136,0,7259,0
"LIKE I WOULD - Rytmeklubben Remix",1433082,46,1433082,0,46,0
"Alienated - Demo",1224348,771,1224348,0,771,0
"LIKE I WOULD - Sharam Jey Remix",1195611,35,1195611,0,35,0
"EYES CLOSED (with ZAYN) - 0.5X",1091372,2384,1091372,0,2384,0
"EYES CLOSED (with ZAYN) - BARE",947163,2575,947163,0,2575,0
"Trampoline (Joel Corry Remix) - Extended Mix",545608,52,545608,0,52,0
"EYES CLOSED (with ZAYN) - UNVEILED",358407,1296,358407,0,1296,0
