Rank,"Song Title",Streams,Daily
1,"As It Was",4309316408,1703551
2,"Watermelon Sugar",3234852810,938032
3,"Sign of the Times",2081067720,1200242
4,"Adore You",2040817896,879458
5,Falling,1539039546,535146
6,"Late Night Talking",1165901754,316867
7,Golden,1048546604,260383
8,Matilda,747741115,554456
9,"Lights Up",742818133,110454
10,"Fine Line",713440129,394597
11,"Sweet Creature",679930225,109157
12,Kiwi,599865899,113730
13,Satellite,576266258,238592
14,"Music For a Sushi Restaurant",488686917,139268
15,"Little Freak",465578260,156067
16,Daylight,457776746,128436
17,"Keep Driving",423835219,146979
18,Cherry,421038222,125640
19,"From the Dining Table",408136282,108830
20,She,384012934,87815
21,"Two Ghosts",373094401,90598
22,"Love Of My Life",362668089,101875
23,"Sunflower, Vol. 6",345011280,80851
24,"Girl Crush - Recorded at Metropolis Studios, London",320207551,63868
25,Grapejuice,292048447,182645
26,"To Be So Lonely",287283517,69486
27,Cinema,287182374,248127
28,Daydreaming,286247915,180932
29,"Meet Me in the Hallway",261485114,52356
30,Woman,257366039,68401
31,"Canyon Moon",245024582,68088
32,Carolina,243407398,62012
33,"Only Angel",233241307,72260
34,"Treat People With Kindness",225208042,54148
35,"Ever Since New York",210911629,68248
36,Boyfriends,194691891,53997
37,Aperture,144911679,1996291
38,"Two Ghosts - Recorded at Metropolis Studios, London",60147143,7914
39,"American Girls",58207372,3718895
40,"Taste Back",35268062,1992763
41,"Coming Up Roses",35061595,1980888
42,"Ready, Steady, Go!",34591574,1747936
43,"Are You Listening Yet?",30178868,1396268
44,Pop,29126727,1407938
45,"The Waiting Game",27277321,1261123
46,"Season 2 Weight Loss",26073721,1165975
47,"Dance No More",25931257,1249308
48,"Carla's Song",24285218,1289612
49,"Paint By Numbers",21030916,933023
