"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Night Changes",2490149327,1157599,,,,
"Story of My Life",1880280943,770034,,,,
"What Makes You Beautiful",1825224814,803133,,,,
"Drag Me Down",1378748261,368586,,,,
Perfect,1222809318,552810,,,,
"Steal My Girl",1195636210,609095,,,,
18,925165240,403559,,,,
"You & I",851858212,488605,,,,
"Best Song Ever",773768963,283291,,,,
"Little Things",714306478,122598,,,,
History,669905426,93135,,,,
"They Don't Know About Us",667047163,218388,,,,
"Right Now",642558860,230550,,,,
"Kiss You",520955858,110704,,,,
"Live While We're Young",501285985,121615,,,,
"One Thing",489492715,181092,,,,
Strong,411644096,147980,,,,
"No Control",358880625,94972,,,,
Olivia,314460188,44607,,,,
"If I Could Fly",312631796,36760,,,,
"Stockholm Syndrome",271425770,55680,,,,
"Midnight Memories",266760739,51877,,,,
Infinity,264140217,41312,,,,
"Love You Goodbye",238529313,34252,,,,
"Where Do Broken Hearts Go",235487017,91655,,,,
"Fool's Gold",227304227,49921,,,,
Fireproof,225088493,57657,,,,
"What a Feeling",213304831,45968,,,,
A.M.,213292711,29798,,,,
"Half a Heart",210081190,29088,,,,
"One Way or Another (Teenage Kicks)",208781835,46598,,,,
"End of the Day",195271795,27529,,,,
Happily,193707346,34625,,,,
"More Than This",191391304,36783,,,,
"Over Again",190535916,31290,,,,
"Walking in the Wind",188716114,40242,,,,
"Rock Me",176253924,70326,,,,
Diana,174588627,41236,,,,
"Last First Kiss",174321067,35881,,,,
"Ready to Run",170620760,39789,,,,
"Temporary Fix",158899176,29201,,,,
"Girl Almighty",158375039,32540,,,,
"Up All Night",151369802,31818,,,,
"Gotta Be You",147232560,32952,,,,
Wolves,144114285,27075,,,,
"I Would",139874841,29676,,,,
"Never Enough",134560429,19878,,,,
"I Want to Write You a Song",132185433,17923,,,,
"Don't Forget Where You Belong",129734292,24049,,,,
"C'mon, C'mon",128070238,33705,,,,
"Through the Dark",126387946,33509,,,,
"She's Not Afraid",125287594,28863,,,,
"Hey Angel",122359226,22710,,,,
Moments,121943339,23521,,,,
"Act My Age",112186044,17978,,,,
Home,111749547,17762,,,,
"Heart Attack",109437445,20391,,,,
"I Wish",105553898,22327,,,,
"Better Than Words",103265120,17812,,,,
Clouds,101138780,19997,,,,
Taken,100547280,18348,,,,
"Long Way Down",100119404,16171,,,,
"Nobody Compares",99234378,22576,,,,
"Little White Lies",98534003,20254,,,,
Spaces,97203073,15839,,,,
"Still The One",96984282,20536,,,,
"Little Black Dress",94664512,16773,,,,
"Change My Mind",93480823,19082,,,,
"Summer Love",91484236,13745,,,,
"I Want",87385258,15798,,,,
"Does He Know?",86574444,20598,,,,
"Once in a Lifetime",85595183,14900,,,,
"Why Don't We Go There",84061873,15929,,,,
"Change Your Ticket",82891147,18674,,,,
"Back For You",79573864,16053,,,,
Magic,78316958,26530,,,,
"Loved You First",77033876,17923,,,,
"Stand Up",75299618,14840,,,,
"Something Great",75006168,18107,,,,
"Same Mistakes",74062186,13712,,,,
Alive,72845961,12819,,,,
Illusion,71417745,13400,,,,
"Tell Me a Lie",71354657,15159,,,,
"Stole My Heart",70776736,16145,,,,
"Na Na Na",68859384,14771,,,,
"I Should Have Kissed You",63021886,15028,,,,
"Everything About You",62115166,12017,,,,
"Save You Tonight",57164432,11249,,,,
"Truly Madly Deeply",48242431,14098,,,,
"Night Changes - Live Acoustic Session",46760685,6248,,,,
Irresistible,44198281,14408,,,,
"Another World",37688827,8154,,,,
"One Thing - Acoustic",35875272,6155,,,,
"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",33344981,6831,,,,
"You & I - Piano Version",32309979,2849,,,,
"Steal My Girl - Acoustic Version",25464518,2335,,,,
"You & I - Radio Edit",21583005,3498,,,,
"Perfect (feat. Matoma) - Matoma Remix",19914223,570,,,,
"Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix",13644112,301,,,,
"Steal My Girl - Live Acoustic Session",11975219,962,,,,
"Best Song Ever - Kat Krazy Remix",8720326,701,,,,
"Night Changes - Afterhrs Remix",8364368,586,,,,
"You & I - Big Payno Remix",7215125,264,,,,
"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6867131,498,,,,
"C'mon, C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5985765,1499,,,,
"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5071633,770,,,,
"Story of My Life - Live X Factor Performance",4775908,825,,,,
"Live While We're Young - The Jump Smokers Remix",4652420,250,,,,
"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4426240,178,,,,
"Best Song Ever - Jump Smokers Remix",4302599,361,,,,
"I Want - Live",4277792,529,,,,
"Live While We're Young - Dave Aude Remix",3702144,231,,,,
"You & I - Duet Version",3043894,1940,,,,
"What Makes You Beautiful - Live",2462853,742,,,,
"One Way or Another (Teenage Kicks) - Instrumental",2439634,255,,,,
"One Way or Another (Teenage Kicks) - Sharoque Remix",2269232,228,,,,
"More Than This - Live",1969784,600,,,,
"Up All Night - Live",1657187,501,,,,
"Gotta Be You - Live",1442593,402,,,,
"Best Song Ever - WestFunk & Steve Smart Remix",1346467,234,,,,
"Gotta Be You - Steve Smart & Westfunk Remix",583668,177,,,,
"Kiss You - Sharoque Remix",492737,174,,,,
"Gotta Be You - Mojam Remix",491803,122,,,,
