,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Night Changes,2.437.231.430,1.231.304,,,,
2,Story of My Life,1.845.993.033,731.024,,,,
3,What Makes You Beautiful,1.789.228.509,805.143,,,,
4,Drag Me Down,1.363.338.947,344.608,,,,
5,Perfect,1.198.792.971,619.011,,,,
6,Steal My Girl,1.167.916.797,700.834,,,,
7,18,906.948.975,481.987,,,,
8,You & I,830.622.455,539.162,,,,
9,Best Song Ever,762.590.654,179.042,,,,
10,Little Things,708.938.312,120.174,,,,
11,History,665.296.520,109.608,,,,
12,They Don't Know About Us,657.226.616,228.616,,,,
13,Right Now,631.487.011,360.026,,,,
14,Kiss You,514.794.620,161.080,,,,
15,Live While We're Young,494.820.391,152.869,,,,
16,One Thing,478.899.144,225.526,,,,
17,Strong,405.180.201,164.296,,,,
18,No Control,353.577.395,131.437,,,,
19,Olivia,312.445.892,45.955,,,,
20,If I Could Fly,310.951.797,38.686,,,,
21,Stockholm Syndrome,268.730.763,59.328,,,,
22,Midnight Memories,264.229.484,52.534,,,,
23,Infinity,262.277.996,41.582,,,,
24,Love You Goodbye,236.973.165,33.855,,,,
25,Where Do Broken Hearts Go,230.257.282,117.949,,,,
26,Fool's Gold,225.222.541,46.736,,,,
27,Fireproof,222.406.221,65.770,,,,
28,A.M.,211.900.272,30.286,,,,
29,What a Feeling,211.291.851,45.225,,,,
30,Half a Heart,208.804.467,26.977,,,,
31,One Way or Another (Teenage Kicks),206.598.506,46.122,,,,
32,End of the Day,194.061.628,28.766,,,,
33,Happily,192.158.460,34.807,,,,
34,More Than This,189.731.813,33.631,,,,
35,Over Again,189.089.101,31.499,,,,
36,Walking in the Wind,187.002.371,39.229,,,,
37,Diana,172.741.054,37.713,,,,
38,Rock Me,172.737.637,85.913,,,,
39,Last First Kiss,172.680.871,35.612,,,,
40,Ready to Run,168.844.327,37.747,,,,
41,Temporary Fix,157.560.456,32.787,,,,
42,Girl Almighty,156.893.939,30.633,,,,
43,Up All Night,149.915.755,32.201,,,,
44,Gotta Be You,145.732.724,32.472,,,,
45,Wolves,142.878.692,26.739,,,,
46,I Would,138.516.016,28.893,,,,
47,Never Enough,133.649.610,19.760,,,,
48,I Want to Write You a Song,131.408.421,17.890,,,,
49,Don't Forget Where You Belong,128.617.275,23.646,,,,
50,C'mon C'mon,126.527.847,32.420,,,,
51,Through the Dark,124.909.993,30.536,,,,
52,She's Not Afraid,124.046.631,27.016,,,,
53,Hey Angel,121.303.642,22.330,,,,
54,Moments,120.887.557,22.303,,,,
55,Act My Age,111.366.502,17.846,,,,
56,Home,110.927.738,18.978,,,,
57,Heart Attack,108.465.175,20.546,,,,
58,I Wish,104.609.116,20.345,,,,
59,Better Than Words,102.472.939,17.135,,,,
60,Clouds,100.218.525,18.553,,,,
61,Taken,99.727.755,18.095,,,,
62,Long Way Down,99.401.605,16.825,,,,
63,Nobody Compares,98.325.300,18.991,,,,
64,Little White Lies,97.651.280,17.831,,,,
65,Spaces,96.508.552,15.299,,,,
66,Still The One,96.062.480,21.132,,,,
67,Little Black Dress,93.887.447,17.703,,,,
68,Change My Mind,92.634.015,19.570,,,,
69,Summer Love,90.865.521,13.404,,,,
70,I Want,86.651.772,15.821,,,,
71,Does He Know?,85.692.112,18.411,,,,
72,Once in a Lifetime,84.918.155,15.046,,,,
73,Why Don't We Go There,83.355.206,16.176,,,,
74,Change Your Ticket,82.056.992,17.915,,,,
75,Back For You,78.867.266,15.491,,,,
76,Magic,77.168.272,25.581,,,,
77,Loved You First,76.295.589,15.637,,,,
78,Stand Up,74.638.201,14.536,,,,
79,Something Great,74.314.309,12.577,,,,
80,Same Mistakes,73.467.131,12.785,,,,
81,Alive,72.278.580,12.272,,,,
82,Illusion,70.829.755,12.729,,,,
83,Tell Me a Lie,70.692.276,13.739,,,,
84,Stole My Heart,70.064.792,15.184,,,,
85,Na Na Na,68.194.121,14.920,,,,
86,I Should Have Kissed You,62.349.946,14.713,,,,
87,Everything About You,61.580.952,11.712,,,,
88,Save You Tonight,56.668.525,10.612,,,,
89,Truly Madly Deeply,47.625.926,13.846,,,,
90,Night Changes - Live Acoustic Session,46.483.618,6.325,,,,
91,Irresistible,43.573.806,13.313,,,,
