"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"You & I - Duet Version",3041954,2032,3041954,0,2032,0
"What Makes You Beautiful - Live",2462111,674,2462111,0,674,0
"One Way or Another (Teenage Kicks) - Instrumental",2439379,233,2439379,0,233,0
"One Way or Another (Teenage Kicks) - Sharoque Remix",2269004,207,2269004,0,207,0
"More Than This - Live",1969184,524,1969184,0,524,0
"Up All Night - Live",1656686,425,1656686,0,425,0
"Gotta Be You - Live",1442191,346,1442191,0,346,0
"Best Song Ever - WestFunk & Steve Smart Remix",1346233,163,1346233,0,163,0
"Gotta Be You - Steve Smart & Westfunk Remix",583491,111,583491,0,111,0
"Kiss You - Sharoque Remix",492563,158,492563,0,158,0
"Gotta Be You - Mojam Remix",491681,125,491681,0,125,0
