,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Strip That Down (feat. Quavo),1.107.836.526,121.283,,,,
2,For You (With Rita Ora),549.236.082,110.324,,,,
3,* Polaroid (With Jonas Blue & Lennon Stella),444.819.399,50.485,,,,
4,Familiar (With J. Balvin),297.620.351,23.050,,,,
5,* Get Low (With Zedd),220.454.918,16.297,,,,
6,* Midnight (feat. Liam Payne),215.838.889,17.673,,,,
7,Bedroom Floor,183.335.425,13.510,,,,
8,Stack It Up (feat. A Boogie Wit da Hoodie),121.528.449,16.850,,,,
9,All I Want (For Christmas),99.150.891,4.692,,,,
10,Naughty List (with Dixie),70.324.502,2.579,,,,
11,Strip That Down - Acoustic,63.032.287,3.774,,,,
12,Live Forever (With Cheat Codes),57.882.728,4.523,,,,
13,First Time,42.091.751,1.791,,,,
14,Sunshine - From the Motion Picture “Ron’s Gone Wrong”,29.563.604,7.624,,,,
15,Teardrops,26.876.943,13.830,,,,
16,Remember,26.753.851,9.299,,,,
17,* Polaroid - Acoustic,25.312.859,1.766,,,,
18,Strip That Down - Nevada Remix,15.863.769,1.012,,,,
19,Depend On It,13.236.169,2.422,,,,
20,Slow,12.907.565,3.124,,,,
21,Let It Snow Let It Snow Let It Snow,12.857.728,227,,,,
22,Heart Meet Break,10.579.124,2.268,,,,
23,Home With You,9.880.767,1.561,,,,
24,Stack It Up - Acoustic,9.623.539,495,,,,
25,Say It All,7.397.976,2.047,,,,
26,* You & I - Big Payno Remix,7.200.668,276,,,,
27,Tell Your Friends,7.175.748,1.371,,,,
28,* Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.843.578,495,,,,
29,Weekend,6.715.652,1.335,,,,
30,Hips Don't Lie,6.642.775,1.222,,,,
31,Both Ways,5.724.573,1.065,,,,
32,Bedroom Floor - Cash Cash Remix,5.496.018,261,,,,
33,* Polaroid - R3HAB Remix,5.282.683,117,,,,
34,Rude Hours,5.111.042,926,,,,
35,* Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.416.113,210,,,,
36,* Midnight (feat. Liam Payne) (Rompasso Remix),3.700.342,232,,,,
37,Bedroom Floor - Acoustic,3.630.630,253,,,,
38,* Get Low - KUURO Remix,3.010.050,93,,,,
39,Teardrops - Acoustic,2.504.017,1.812,,,,
40,* Midnight (feat. Liam Payne) (Jack Wins Remix),2.140.043,131,,,,
41,* Polaroid - CID & Jonas Blue Remix,1.655.993,57,,,,
42,Bedroom Floor - NSG Remix,1.482.930,80,,,,
43,* Midnight (feat. Liam Payne) (Alesso & ESH Remix),1.476.072,96,,,,
44,* Polaroid - Zac Samuel Remix,1.175.618,79,,,,
45,* Midnight (feat. Liam Payne) (Vicetone Remix),938.575,208,,,,
46,Live Forever (With Cheat Codes) - R3HAB Remix,797.365,122,,,,
47,* Midnight - Sylvain Armand & Kiko Franco Remix,719.514,44,,,,
48,Sunshine - From the Motion Picture “Ron’s Gone Wrong” / Acoustic,672.653,211,,,,
49,Sunshine - From the Motion Picture “Ron’s Gone Wrong’’ (Billen Ted Remix),540.212,109,,,,
50,Bedroom Floor - London On Da Track Remix,539.993,40,,,,
51,* Polaroid - HUGEL Remix,536.236,31,,,,
52,* Polaroid - Nolan van Lith Remix,281.904,20,,,,
53,Live Forever (with Cheat Codes) - 99 Souls Remix,271.539,47,,,,
54,Live Forever (With Cheat Codes) - Mahalo Remix,257.558,28,,,,
55,Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix,212.969,28,,,,
56,* I Don't Care - Payno Vs. Afterhrs Remix,198.238,5,,,,
57,* Midnight (feat. Liam Payne) (Magnificence Remix),187.516,22,,,,
