,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,As It Was,4.199.763.003,1.612.422,,,,
2,Watermelon Sugar,3.175.863.256,862.526,,,,
3,Sign of the Times,2.003.459.359,1.177.591,,,,
4,Adore You,1.978.696.796,844.632,,,,
5,Falling,1.497.835.233,649.072,,,,
6,Late Night Talking,1.142.201.624,313.352,,,,
7,Golden,1.029.803.326,240.990,,,,
8,Lights Up,732.792.254,146.126,,,,
9,Matilda,704.523.447,617.355,,,,
10,Fine Line,684.952.691,425.176,,,,
11,Sweet Creature,672.090.736,125.215,,,,
12,Kiwi,590.968.663,119.634,,,,
13,Satellite,558.116.022,215.095,,,,
14,Music For a Sushi Restaurant,477.124.210,135.959,,,,
15,Little Freak,452.648.550,167.315,,,,
16,Daylight,447.476.634,137.429,,,,
17,Keep Driving,414.425.470,131.648,,,,
18,Cherry,410.857.166,137.040,,,,
19,From the Dining Table,401.210.260,105.382,,,,
20,She,377.454.485,91.577,,,,
21,Two Ghosts,366.431.985,96.906,,,,
22,Love Of My Life,354.575.865,123.417,,,,
23,Sunflower Vol. 6,338.448.752,89.193,,,,
24,Girl Crush - Recorded at Metropolis Studios London,315.261.812,67.505,,,,
25,Grapejuice,283.096.777,101.789,,,,
26,To Be So Lonely,281.707.146,74.089,,,,
27,Daydreaming,276.058.255,109.711,,,,
28,Cinema,274.344.952,116.144,,,,
29,Meet Me in the Hallway,257.429.983,69.188,,,,
30,Woman,252.320.153,67.364,,,,
31,Canyon Moon,240.054.666,66.030,,,,
32,Carolina,239.463.329,61.510,,,,
33,Only Angel,228.075.187,69.746,,,,
34,Treat People With Kindness,220.761.861,56.279,,,,
35,Ever Since New York,206.125.824,66.666,,,,
36,Boyfriends,189.830.924,70.497,,,,
37,Two Ghosts - Recorded at Metropolis Studios London,59.500.080,20.298,,,,
