Rank,"Song Title",Streams,Daily
1,"Strip That Down (feat Quavo)",1119212211,157412
2,"For You (With Rita Ora)",558959413,121229
3,"Polaroid (With Jonas Blue Lennon Stella)",448648828,45873
4,"Familiar (With J Balvin)",299432365,23190
5,"Get Low (With Zedd)",221659977,15613
6,"Midnight (feat Liam Payne)",217296017,19695
7,"Bedroom Floor",184370255,13505
8,"Stack It Up (feat A Boogie Wit da Hoodie)",122726593,13041
9,"All I Want (For Christmas)",99368813,1950
10,"Naughty List (with Dixie)",70436972,1073
11,"Strip That Down - Acoustic",63312229,3418
12,"Live Forever (With Cheat Codes)",58223352,4035
13,"First Time",42218428,1492
14,"Sunshine - From the Motion Picture Rons Gone Wrong",30129361,6420
15,Teardrops,28166624,13415
16,Remember,27627270,10612
17,"Polaroid - Acoustic",25437430,1460
18,"Strip That Down - Nevada Remix",15948672,1139
19,"Depend On It",13443254,2219
20,Slow,13187951,3259
21,"Let It Snow Let It Snow Let It Snow",12870787,147
22,"Heart Meet Break",10772419,2027
23,"Home With You",10036225,2066
24,"Stack It Up - Acoustic",9663233,437
25,"Say It All",7628967,2547
26,"Tell Your Friends",7299345,1255
27,"You I - Big Payno Remix",7225589,320
28,"Drag Me Down (feat LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6884224,536
29,Weekend,6828174,1200
30,"Hips Dont Lie",6750502,1117
31,"Both Ways",5819145,934
32,"Bedroom Floor - Cash Cash Remix",5517535,261
33,"Polaroid - R3HAB Remix",5292736,119
34,"Rude Hours",5193312,899
35,"Steal My Girl - Big Payno Afterhrs Pool Party Remix",4433523,198
36,"Midnight (feat Liam Payne) (Rompasso Remix)",3715906,180
37,"Bedroom Floor - Acoustic",3651663,275
38,"Get Low - KUURO Remix",3018249,104
39,"Teardrops - Acoustic",2630943,1398
40,"Midnight (feat Liam Payne) (Jack Wins Remix)",2151325,157
41,"Polaroid - CID Jonas Blue Remix",1660037,57
42,"Bedroom Floor - NSG Remix",1489323,85
43,"Midnight (feat Liam Payne) (Alesso ESH Remix)",1483242,93
44,"Polaroid - Zac Samuel Remix",1182510,88
45,"Midnight (feat Liam Payne) (Vicetone Remix)",954166,208
46,"Live Forever (With Cheat Codes) - R3HAB Remix",805114,100
47,"Midnight - Sylvain Armand Kiko Franco Remix",723971,66
48,"Sunshine - From the Motion Picture Rons Gone Wrong Acoustic",689997,188
49,"Sunshine - From the Motion Picture Rons Gone Wrong (Billen Ted Remix)",548213,93
50,"Bedroom Floor - London On Da Track Remix",543114,30
51,"Polaroid - HUGEL Remix",539047,30
52,"Polaroid - Nolan van Lith Remix",283684,24
53,"Live Forever (with Cheat Codes) - 99 Souls Remix",274924,35
54,"Live Forever (With Cheat Codes) - Mahalo Remix",260336,28
55,"Live Forever (With Cheat Codes) - Dee Swan Gregatron Remix",215370,27
56,"I Dont Care - Payno Vs Afterhrs Remix",198673,5
57,"Midnight (feat Liam Payne) (Magnificence Remix)",189829,34
