Rank,"Song Title",Streams,Daily
1,"Strip That Down (feat. Quavo)",1114975407,106971
2,"For You (With Rita Ora)",555516498,96064
3,"Polaroid (With Jonas Blue & Lennon Stella)",447268583,40061
4,"Familiar (With J. Balvin)",298784363,18313
5,"Get Low (With Zedd)",221253657,11108
6,"Midnight (feat. Liam Payne)",216783409,14790
7,"Bedroom Floor",184010646,9970
8,"Stack It Up (feat. A Boogie Wit da Hoodie)",122327881,12360
9,"All I Want (For Christmas)",99306984,1968
10,"Naughty List (with Dixie)",70405854,1145
11,"Strip That Down - Acoustic",63215798,2477
12,"Live Forever (With Cheat Codes)",58116054,3450
13,"First Time",42174901,1098
14,"Sunshine - From the Motion Picture “Ron's Gone Wrong”",29933124,6476
15,Teardrops,27737918,12329
16,Remember,27330608,8934
17,"Polaroid - Acoustic",25395516,1027
18,"Strip That Down - Nevada Remix",15915937,845
19,"Depend On It",13377253,1563
20,Slow,13100234,2251
21,"Let It Snow, Let It Snow, Let It Snow",12866352,111
22,"Heart Meet Break",10707746,1638
23,"Home With You",9978752,1428
24,"Stack It Up - Acoustic",9649265,383
25,"Say It All",7553042,1939
26,"Tell Your Friends",7258395,1201
27,"You & I - Big Payno Remix",7216855,216
28,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6869848,389
29,Weekend,6790911,1006
30,"Hips Don't Lie",6714275,990
31,"Both Ways",5787730,831
32,"Bedroom Floor - Cash Cash Remix",5509793,231
33,"Polaroid - R3HAB Remix",5288886,123
34,"Rude Hours",5165396,735
35,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4427464,170
36,"Midnight (feat. Liam Payne) (Rompasso Remix)",3710246,161
37,"Bedroom Floor - Acoustic",3644194,207
38,"Get Low - KUURO Remix",3015397,79
39,"Teardrops - Acoustic",2588924,1069
40,"Midnight (feat. Liam Payne) (Jack Wins Remix)",2147216,111
41,"Polaroid - CID & Jonas Blue Remix",1658622,51
42,"Bedroom Floor - NSG Remix",1486972,65
43,"Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1480530,75
44,"Polaroid - Zac Samuel Remix",1179979,72
45,"Midnight (feat. Liam Payne) (Vicetone Remix)",948856,144
46,"Live Forever (With Cheat Codes) - R3HAB Remix",802323,80
47,"Midnight - Sylvain Armand & Kiko Franco Remix",722331,40
48,"Sunshine - From the Motion Picture “Ron's Gone Wrong” / Acoustic",684031,147
49,"Sunshine - From the Motion Picture “Ron's Gone Wrong'' (Billen Ted Remix)",545366,74
50,"Bedroom Floor - London On Da Track Remix",542109,45
51,"Polaroid - HUGEL Remix",538025,27
52,"Polaroid - Nolan van Lith Remix",283063,6
53,"Live Forever (with Cheat Codes) - 99 Souls Remix",273696,38
54,"Live Forever (With Cheat Codes) - Mahalo Remix",259340,27
55,"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",214487,34
56,"I Don't Care - Payno Vs. Afterhrs Remix",198548,5
57,"Midnight (feat. Liam Payne) (Magnificence Remix)",188956,21
