Rank,"Song Title",Streams,Daily
1,"Strip That Down (feat. Quavo)",1113209997,141787
2,"For You (With Rita Ora)",554000520,127688
3,"*Polaroid (With Jonas Blue & Lennon Stella)",446686410,44454
4,"Familiar (With J. Balvin)",298497313,20870
5,"*Get Low (With Zedd)",221068024,13679
6,"*Midnight (feat. Liam Payne)",216562777,17327
7,"Bedroom Floor",183850079,12706
8,"Stack It Up (feat. A Boogie Wit da Hoodie)",122149895,13409
9,"All I Want (For Christmas)",99276998,2558
10,"Naughty List (with Dixie)",70391962,1235
11,"Strip That Down - Acoustic",63171901,3306
12,"Live Forever (With Cheat Codes)",58063826,4251
13,"First Time",42155889,1571
14,"Sunshine - From the Motion Picture “Ron's Gone Wrong”",29845635,6596
15,Teardrops,27547814,15074
16,Remember,27202954,10089
17,"*Polaroid - Acoustic",25376083,1590
18,"Strip That Down - Nevada Remix",15903054,1089
19,"Depend On It",13349062,2509
20,Slow,13060468,2863
21,"Let It Snow Let It Snow Let It Snow",12864686,146
22,"Heart Meet Break",10680259,2213
23,"Home With You",9954521,1828
24,"Stack It Up - Acoustic",9643424,411
25,"Say It All",7521375,2559
26,"Tell Your Friends",7240804,1465
27,"*You & I - Big Payno Remix",7213210,285
28,"*Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6863815,477
29,Weekend,6774455,1391
30,"Hips Don't Lie",6698876,126
31,"Both Ways",5774158,1140
32,"Bedroom Floor - Cash Cash Remix",5506630,240
33,"*Polaroid - R3HAB Remix",5287275,114
34,"Rude Hours",5153677,941
35,"*Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4424929,193
36,"*Midnight (feat. Liam Payne) (Rompasso Remix)",3707958,164
37,"Bedroom Floor - Acoustic",3641127,292
38,"*Get Low - KUURO Remix",3014144,95
39,"Teardrops - Acoustic",2570168,1310
40,"*Midnight (feat. Liam Payne) (Jack Wins Remix)",2145549,155
41,"*Polaroid - CID & Jonas Blue Remix",1657934,52
42,"Bedroom Floor - NSG Remix",1486060,61
43,"*Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1479494,71
44,"*Polaroid - Zac Samuel Remix",1178832,87
45,"*Midnight (feat. Liam Payne) (Vicetone Remix)",946578,187
46,"Live Forever (With Cheat Codes) - R3HAB Remix",801165,97
47,"*Midnight - Sylvain Armand & Kiko Franco Remix",721681,45
48,"Sunshine - From the Motion Picture “Ron's Gone Wrong” / Acoustic",681594,237
49,"Sunshine - From the Motion Picture “Ron's Gone Wrong'' (Billen Ted Remix)",544192,113
50,"Bedroom Floor - London On Da Track Remix",541600,22
51,"*Polaroid - HUGEL Remix",537598,32
52,"*Polaroid - Nolan van Lith Remix",282819,17
53,"Live Forever (with Cheat Codes) - 99 Souls Remix",273219,42
54,"Live Forever (With Cheat Codes) - Mahalo Remix",258899,43
55,"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",214144,39
56,"*I Don't Care - Payno Vs. Afterhrs Remix",198461,5
57,"*Midnight (feat. Liam Payne) (Magnificence Remix)",188653,20
