Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.079.619.447,1.523.434
2,Story of My Life,1.602.962.237,1.043.158
3,What Makes You Beautiful,1.545.977.005,970.359
4,Drag Me Down,1.260.207.990,470.572
5,Perfect,1.043.743.135,569.774
6,Steal My Girl,977.638.603,741.060
7,18,780.353.521,342.206
8,You & I,702.520.215,510.816
9,Best Song Ever,676.630.397,267.516
10,Little Things,668.153.763,158.895
11,History,624.820.469,134.894
12,They Don't Know About Us,609.496.225,156.689
13,Right Now,534.279.377,315.496
14,Kiss You,473.241.666,141.307
15,Live While We're Young,445.463.657,165.974
16,One Thing,415.021.732,152.989
17,Strong,355.311.555,158.045
18,No Control,326.011.878,96.402
19,If I Could Fly,297.626.362,49.029
20,Olivia,297.264.836,58.931
21,Infinity,248.669.164,49.135
22,Stockholm Syndrome,247.610.394,79.755
23,Midnight Memories,246.934.422,68.109
24,Love You Goodbye,224.438.381,47.437
25,Fool's Gold,210.302.604,52.045
26,Where Do Broken Hearts Go,207.960.374,67.452
27,Fireproof,203.651.658,68.072
28,A.M.,201.764.825,37.951
29,Half a Heart,199.130.962,34.715
30,What a Feeling,196.716.497,50.527
31,One Way or Another (Teenage Kicks),192.298.071,54.068
32,End of the Day,184.719.920,32.308
33,Happily,180.532.060,37.641
34,Over Again,178.665.475,37.654
35,More Than This,177.631.198,44.158
36,Walking in the Wind,172.908.832,55.786
37,Last First Kiss,160.838.758,39.807
38,Rock Me,160.645.579,38.958
39,Diana,160.200.584,43.092
40,Ready to Run,155.713.597,45.018
41,Temporary Fix,148.153.606,33.838
42,Girl Almighty,146.119.504,40.011
43,Up All Night,139.291.215,39.495
44,Gotta Be You,135.064.677,38.374
45,Wolves,134.137.879,30.260
46,I Would,128.371.879,36.188
47,Never Enough,126.941.226,23.585
48,I Want to Write You a Song,125.159.132,23.708
49,Don't Forget Where You Belong,120.536.080,29.452
50,C'mon C'mon,115.472.228,36.909
51,She's Not Afraid,115.145.462,31.748
52,Through the Dark,114.278.469,35.568
53,Hey Angel,113.795.826,25.725
54,Moments,112.886.830,30.216
55,Act My Age,105.302.016,23.458
56,Home,104.982.288,21.791
57,Heart Attack,101.666.811,21.529
58,I Wish,97.749.731,23.736
59,Better Than Words,96.337.907,23.362
60,Long Way Down,93.942.697,18.809
61,Clouds,93.836.254,21.414
62,Taken,93.691.186,21.370
63,Nobody Compares,91.567.863,22.418
64,Little White Lies,91.214.912,20.929
65,Spaces,91.164.319,19.543
66,Still The One,88.996.893,22.967
67,Little Black Dress,88.217.227,20.286
68,Change My Mind,86.698.214,19.067
69,Summer Love,86.154.756,15.643
70,I Want,81.571.533,18.874
71,Once in a Lifetime,79.725.532,17.370
72,Does He Know?,79.486.606,18.210
73,Why Don't We Go There,78.009.309,18.193
74,Change Your Ticket,76.299.735,19.371
75,Back For You,73.442.967,15.627
76,Loved You First,70.930.711,16.161
77,Something Great,69.917.211,15.697
78,Stand Up,69.773.311,17.409
79,Same Mistakes,69.162.882,14.779
80,Magic,68.338.706,29.215
81,Alive,68.013.279,15.442
82,Illusion,66.455.436,14.347
83,Tell Me a Lie,65.985.987,16.304
84,Stole My Heart,64.994.801,18.181
85,Na Na Na,63.288.685,17.914
86,Everything About You,57.675.911,13.536
87,I Should Have Kissed You,57.487.374,16.995
88,Save You Tonight,53.135.337,12.255
89,Night Changes - Live Acoustic Session,44.022.224,10.408
90,Truly Madly Deeply,43.105.945,15.756
91,Irresistible,39.095.791,15.504
92,Another World,34.636.826,9.428
93,One Thing - Acoustic,33.436.650,8.266
94,You & I - Piano Version,31.191.130,3.805
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.687.862,8.700
96,Steal My Girl - Acoustic Version,24.424.695,4.316
97,You & I - Radio Edit,20.435.173,1.649
98,Perfect (feat. Matoma) - Matoma Remix,19.614.987,839
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.544.464,325
100,Steal My Girl - Live Acoustic Session,11.609.614,1.250
101,Best Song Ever - Kat Krazy Remix,8.439.072,1.043
102,Night Changes - Afterhrs Remix,8.153.249,656
103,You & I - Big Payno Remix,7.116.097,279
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.701.309,515
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.328.449,2.413
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.763.604,1.024
107,Live While We're Young - The Jump Smokers Remix,4.565.320,268
108,Story of My Life - Live X Factor Performance,4.465.991,1.039
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.360.027,230
110,Best Song Ever - Jump Smokers Remix,4.167.105,366
111,I Want - Live,4.068.720,830
112,Live While We're Young - Dave Aude Remix,3.627.444,217
113,One Way or Another (Teenage Kicks) - Instrumental,2.347.737,289
114,You & I - Duet Version,2.301.135,321
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.185.320,303
116,What Makes You Beautiful - Live,2.156.135,984
117,More Than This - Live,1.734.117,692
118,Up All Night - Live,1.462.581,625
119,Best Song Ever - WestFunk & Steve Smart Remix,1.286.495,158
120,Gotta Be You - Live,1.284.384,506
121,Gotta Be You - Steve Smart & Westfunk Remix,528.081,157
122,Gotta Be You - Mojam Remix,445.708,123
123,Kiss You - Sharoque Remix,432.835,177
