Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.133.654.667,1.332.614
2,Story of My Life,1.638.469.647,927.641
3,What Makes You Beautiful,1.580.361.941,837.076
4,Drag Me Down,1.272.994.213,309.384
5,Perfect,1.063.631.555,522.041
6,Steal My Girl,1.003.749.217,677.973
7,18,794.243.496,485.730
8,You & I,719.869.494,464.658
9,Best Song Ever,687.698.529,390.585
10,Little Things,674.166.484,158.625
11,History,629.788.615,134.965
12,They Don't Know About Us,615.705.311,168.545
13,Right Now,547.378.834,488.814
14,Kiss You,478.809.325,143.513
15,Live While We're Young,451.931.942,171.362
16,One Thing,423.381.858,165.209
17,Strong,361.542.486,173.951
18,No Control,329.792.601,99.559
19,If I Could Fly,299.572.828,51.769
20,Olivia,299.555.197,59.362
21,Stockholm Syndrome,250.723.378,86.335
22,Infinity,250.571.627,51.113
23,Midnight Memories,249.509.164,63.280
24,Love You Goodbye,226.327.805,48.593
25,Fool's Gold,212.407.656,58.058
26,Where Do Broken Hearts Go,210.538.321,65.671
27,Fireproof,206.305.050,77.143
28,A.M.,203.228.799,38.660
29,Half a Heart,200.541.825,37.496
30,What a Feeling,198.978.760,59.493
31,One Way or Another (Teenage Kicks),194.331.294,52.049
32,End of the Day,186.020.340,35.095
33,Happily,182.212.152,45.981
34,Over Again,180.167.045,39.143
35,More Than This,179.358.729,44.962
36,Walking in the Wind,175.048.071,57.959
37,Last First Kiss,162.437.081,42.313
38,Rock Me,162.229.044,40.639
39,Diana,161.888.591,45.110
40,Ready to Run,157.533.262,49.739
41,Temporary Fix,149.553.383,36.744
42,Girl Almighty,147.650.817,42.087
43,Up All Night,140.796.012,38.522
44,Gotta Be You,136.509.736,37.029
45,Wolves,135.352.250,31.925
46,I Would,129.845.930,37.714
47,Never Enough,127.889.504,24.778
48,I Want to Write You a Song,126.064.002,23.859
49,Don't Forget Where You Belong,121.670.069,31.015
50,C'mon C'mon,116.948.814,38.573
51,She's Not Afraid,116.420.994,33.900
52,Through the Dark,115.756.984,39.098
53,Hey Angel,114.825.215,27.884
54,Moments,114.036.540,29.568
55,Act My Age,106.225.751,25.249
56,Home,105.837.383,22.556
57,Heart Attack,102.558.916,23.079
58,I Wish,98.701.912,25.668
59,Better Than Words,97.272.400,23.856
60,Clouds,94.742.059,23.822
61,Long Way Down,94.706.248,20.670
62,Taken,94.537.380,22.580
63,Nobody Compares,92.517.379,23.652
64,Little White Lies,92.115.320,23.954
65,Spaces,91.946.094,19.960
66,Still The One,89.990.000,25.145
67,Little Black Dress,89.023.985,20.744
68,Change My Mind,87.482.494,21.460
69,Summer Love,86.818.875,18.199
70,I Want,82.318.666,19.564
71,Once in a Lifetime,80.396.399,17.350
72,Does He Know?,80.270.073,21.210
73,Why Don't We Go There,78.774.324,20.567
74,Change Your Ticket,77.128.814,20.956
75,Back For You,74.120.939,19.530
76,Loved You First,71.615.959,17.970
77,Something Great,70.552.494,16.608
78,Stand Up,70.445.246,17.733
79,Same Mistakes,69.780.608,16.058
80,Magic,69.552.727,31.023
81,Alive,68.644.437,16.978
82,Illusion,67.044.020,17.513
83,Tell Me a Lie,66.634.491,16.738
84,Stole My Heart,65.704.098,18.573
85,Na Na Na,63.976.912,18.444
86,Everything About You,58.210.058,13.779
87,I Should Have Kissed You,58.160.321,17.516
88,Save You Tonight,53.625.505,12.887
89,Night Changes - Live Acoustic Session,44.429.505,10.920
90,Truly Madly Deeply,43.753.674,17.469
91,Irresistible,39.728.104,17.005
92,Another World,35.012.072,9.813
93,One Thing - Acoustic,33.745.928,7.998
94,You & I - Piano Version,31.336.606,4.146
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",31.013.124,8.426
96,Steal My Girl - Acoustic Version,24.590.973,4.235
97,You & I - Radio Edit,20.493.560,1.472
98,Perfect (feat. Matoma) - Matoma Remix,19.645.301,758
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.556.514,327
100,Steal My Girl - Live Acoustic Session,11.658.677,1.293
101,Best Song Ever - Kat Krazy Remix,8.476.403,981
102,Night Changes - Afterhrs Remix,8.179.664,731
103,You & I - Big Payno Remix,7.128.157,329
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.722.101,569
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.422.023,2.282
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.807.897,1.104
107,Live While We're Young - The Jump Smokers Remix,4.576.115,334
108,Story of My Life - Live X Factor Performance,4.508.250,1.193
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.368.075,229
110,Best Song Ever - Jump Smokers Remix,4.183.590,482
111,I Want - Live,4.097.131,796
112,Live While We're Young - Dave Aude Remix,3.636.450,248
113,One Way or Another (Teenage Kicks) - Instrumental,2.358.676,318
114,You & I - Duet Version,2.313.410,337
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.196.501,258
116,What Makes You Beautiful - Live,2.194.514,1.026
117,More Than This - Live,1.762.637,816
118,Up All Night - Live,1.488.519,684
119,Gotta Be You - Live,1.304.942,542
120,Best Song Ever - WestFunk & Steve Smart Remix,1.293.295,175
121,Gotta Be You - Steve Smart & Westfunk Remix,534.605,176
122,Gotta Be You - Mojam Remix,45.124,158
123,Kiss You - Sharoque Remix,439.777,171
