Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.128.406.550,1.326.494
2,Story of My Life,1.634.912.921,836.344
3,What Makes You Beautiful,1.577.019.594,840.862
4,Drag Me Down,1.271.787.273,306.491
5,Perfect,1.061.601.476,491.155
6,Steal My Girl,1.001.134.157,632.688
7,18,792.478.184,463.239
8,You & I,718.185.552,383.506
9,Best Song Ever,686.287.165,361.565
10,Little Things,673.559.042,139.107
11,History,629.296.214,119.447
12,They Don't Know About Us,615.054.212,152.771
13,Right Now,545.557.891,447.864
14,Kiss You,478.250.538,132.334
15,Live While We're Young,451.253.670,165.865
16,One Thing,422.734.491,149.904
17,Strong,360.873.252,156.280
18,No Control,329.419.314,88.636
19,If I Could Fly,299.378.412,43.692
20,Olivia,299.325.847,55.508
21,Stockholm Syndrome,250.415.336,73.979
22,Infinity,250.381.031,45.616
23,Midnight Memories,249.266.806,61.420
24,Love You Goodbye,226.144.764,42.250
25,Fool's Gold,212.194.924,49.137
26,Where Do Broken Hearts Go,210.283.598,60.009
27,Fireproof,206.025.699,63.495
28,A.M.,203.082.613,34.278
29,Half a Heart,200.399.394,33.111
30,What a Feeling,198.751.877,53.034
31,One Way or Another (Teenage Kicks),194.136.021,49.814
32,End of the Day,185.888.187,32.671
33,Happily,182.037.831,40.015
34,Over Again,180.018.779,35.417
35,More Than This,179.189.177,39.838
36,Walking in the Wind,174.831.567,48.612
37,Last First Kiss,162.275.834,37.528
38,Rock Me,162.070.256,36.507
39,Diana,161.715.182,40.548
40,Ready to Run,157.351.807,43.631
41,Temporary Fix,149.412.690,33.937
42,Girl Almighty,147.495.873,36.921
43,Up All Night,140.646.512,36.404
44,Gotta Be You,136.366.408,35.220
45,Wolves,135.229.344,29.539
46,I Would,129.703.056,34.101
47,Never Enough,127.794.610,22.706
48,I Want to Write You a Song,125.972.502,20.199
49,Don't Forget Where You Belong,121.555.739,26.581
50,C'mon C'mon,116.804.171,34.735
51,She's Not Afraid,116.293.157,30.648
52,Through the Dark,115.611.074,35.447
53,Hey Angel,114.717.972,24.740
54,Moments,113.923.507,26.099
55,Act My Age,106.130.343,22.062
56,Home,105.752.593,19.396
57,Heart Attack,102.469.017,21.987
58,I Wish,98.608.931,22.920
59,Better Than Words,97.182.544,20.939
60,Clouds,94.652.160,22.113
61,Long Way Down,94.626.797,18.105
62,Taken,94.451.736,20.178
63,Nobody Compares,92.426.514,21.036
64,Little White Lies,92.024.955,20.855
65,Spaces,91.869.297,17.387
66,Still The One,89.887.823,23.603
67,Little Black Dress,88.943.047,20.372
68,Change My Mind,87.402.982,18.130
69,Summer Love,86.751.872,15.240
70,I Want,82.245.004,17.879
71,Once in a Lifetime,80.329.784,14.676
72,Does He Know?,80.189.154,18.942
73,Why Don't We Go There,78.696.364,18.149
74,Change Your Ticket,77.049.389,18.892
75,Back For You,74.046.846,17.147
76,Loved You First,71.547.085,16.314
77,Something Great,70.489.859,15.098
78,Stand Up,70.376.524,16.474
79,Same Mistakes,69.719.792,14.167
80,Magic,69.428.146,29.395
81,Alive,68.579.663,14.982
82,Illusion,66.982.417,15.086
83,Tell Me a Lie,66.569.556,15.455
84,Stole My Heart,65.633.067,17.313
85,Na Na Na,63.906.541,16.669
86,Everything About You,58.156.205,13.082
87,I Should Have Kissed You,58.093.156,15.848
88,Save You Tonight,53.575.761,11.730
89,Night Changes - Live Acoustic Session,44.388.409,9.541
90,Truly Madly Deeply,43.687.166,14.758
91,Irresistible,39.663.593,14.826
92,Another World,34.974.715,8.892
93,One Thing - Acoustic,33.714.924,7.311
94,You & I - Piano Version,31.321.459,3.390
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.980.931,7.637
96,Steal My Girl - Acoustic Version,24.574.535,3.768
97,You & I - Radio Edit,20.487.850,1.357
98,Perfect (feat. Matoma) - Matoma Remix,19.642.381,707
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.555.318,292
100,Steal My Girl - Live Acoustic Session,11.653.648,1.064
101,Best Song Ever - Kat Krazy Remix,8.472.743,1.018
102,Night Changes - Afterhrs Remix,8.176.943,652
103,You & I - Big Payno Remix,7.126.908,278
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.720.051,444
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.413.046,2.157
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.803.392,1.027
107,Live While We're Young - The Jump Smokers Remix,4.574.939,236
108,Story of My Life - Live X Factor Performance,4.503.888,1.009
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.367.282,226
110,Best Song Ever - Jump Smokers Remix,4.181.901,335
111,I Want - Live,4.094.098,572
112,Live While We're Young - Dave Aude Remix,3.635.510,218
113,One Way or Another (Teenage Kicks) - Instrumental,2.357.567,250
114,You & I - Duet Version,2.312.050,335
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.195.502,254
116,What Makes You Beautiful - Live,2.190.523,913
117,More Than This - Live,1.759.569,670
118,Up All Night - Live,1.485.944,563
119,Gotta Be You - Live,1.302.908,425
120,Best Song Ever - WestFunk & Steve Smart Remix,1.292.583,145
121,Gotta Be You - Steve Smart & Westfunk Remix,533.871,152
122,Gotta Be You - Mojam Remix,450.659,108
123,Kiss You - Sharoque Remix,439.073,132
