Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.132.322.053,1.341.757
2,Story of My Life,1.637.542.006,929.503
3,What Makes You Beautiful,1.579.524.865,866.857
4,Drag Me Down,1.272.684.829,310.749
5,Perfect,1.063.109.514,538.041
6,Steal My Girl,1.003.071.244,682.893
7,18,793.757.766,450.233
8,You & I,719.404.836,449.462
9,Best Song Ever,687.307.944,373.848
10,Little Things,674.007.859,159.128
11,History,629.653.650,127.390
12,They Don't Know About Us,615.536.766,171.091
13,Right Now,546.890.020,456.308
14,Kiss You,478.665.812,146.036
15,Live While We're Young,451.760.580,178.917
16,One Thing,423.216.649,172.051
17,Strong,361.368.535,169.644
18,No Control,329.693.042,96.071
19,If I Could Fly,299.521.059,50.993
20,Olivia,299.495.835,59.218
21,Stockholm Syndrome,250.637.043,81.793
22,Infinity,250.520.514,48.817
23,Midnight Memories,249.445.884,61.561
24,Love You Goodbye,226.279.212,47.498
25,Fool's Gold,212.349.598,54.630
26,Where Do Broken Hearts Go,210.472.650,65.944
27,Fireproof,206.227.907,75.378
28,A.M.,203.190.139,38.211
29,Half a Heart,200.504.329,36.574
30,What a Feeling,198.919.267,58.674
31,One Way or Another (Teenage Kicks),194.279.245,49.996
32,End of the Day,185.985.245,34.758
33,Happily,182.166.171,45.179
34,Over Again,180.127.902,39.002
35,More Than This,179.313.767,44.322
36,Walking in the Wind,174.990.112,56.038
37,Last First Kiss,162.394.768,42.082
38,Rock Me,162.188.405,40.087
39,Diana,161.843.481,44.811
40,Ready to Run,157.483.523,48.059
41,Temporary Fix,149.516.639,36.372
42,Girl Almighty,147.608.730,40.716
43,Up All Night,140.757.490,38.532
44,Gotta Be You,136.472.707,37.078
45,Wolves,135.320.325,31.722
46,I Would,129.808.216,37.348
47,Never Enough,127.864.726,24.828
48,I Want to Write You a Song,126.040.143,23.884
49,Don't Forget Where You Belong,121.639.054,29.144
50,C'mon C'mon,116.910.241,37.880
51,She's Not Afraid,116.387.094,32.821
52,Through the Dark,115.717.886,37.851
53,Hey Angel,114.797.331,27.598
54,Moments,114.006.972,29.120
55,Act My Age,106.200.502,24.318
56,Home,105.814.827,22.165
57,Heart Attack,102.535.837,22.866
58,I Wish,98.676.244,23.975
59,Better Than Words,97.248.544,23.691
60,Clouds,94.718.237,23.420
61,Long Way Down,94.685.578,20.862
62,Taken,94.514.800,22.357
63,Nobody Compares,92.493.727,23.525
64,Little White Lies,92.091.366,23.436
65,Spaces,91.926.134,19.817
66,Still The One,89.964.855,26.680
67,Little Black Dress,89.003.241,20.776
68,Change My Mind,87.461.034,20.199
69,Summer Love,86.800.676,17.403
70,I Want,82.299.102,19.057
71,Once in a Lifetime,80.379.049,17.004
72,Does He Know?,80.248.863,21.316
73,Why Don't We Go There,78.753.757,20.221
74,Change Your Ticket,77.107.858,20.465
75,Back For You,74.101.409,19.056
76,Loved You First,71.597.989,18.232
77,Something Great,70.535.886,16.240
78,Stand Up,70.427.513,17.843
79,Same Mistakes,69.764.550,15.762
80,Magic,69.521.704,31.954
81,Alive,68.627.459,16.751
82,Illusion,67.026.507,15.294
83,Tell Me a Lie,66.617.753,16.947
84,Stole My Heart,65.685.525,18.342
85,Na Na Na,63.958.468,18.027
86,Everything About You,58.196.279,14.183
87,I Should Have Kissed You,58.142.805,17.522
88,Save You Tonight,53.612.618,12.923
89,Night Changes - Live Acoustic Session,44.418.585,10.801
90,Truly Madly Deeply,43.736.205,17.308
91,Irresistible,39.711.099,16.627
92,Another World,35.002.259,9.709
93,One Thing - Acoustic,33.737.930,7.859
94,You & I - Piano Version,31.332.460,3.874
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",31.004.698,8.244
96,Steal My Girl - Acoustic Version,24.586.738,4.398
97,You & I - Radio Edit,20.492.088,1.546
98,Perfect (feat. Matoma) - Matoma Remix,19.644.543,792
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.556.187,304
100,Steal My Girl - Live Acoustic Session,11.657.384,1.331
101,Best Song Ever - Kat Krazy Remix,8.475.422,921
102,Night Changes - Afterhrs Remix,8.178.933,703
103,You & I - Big Payno Remix,7.127.828,316
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.721.532,490
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.419.741,2.366
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.806.793,1.165
107,Live While We're Young - The Jump Smokers Remix,4.575.781,298
108,Story of My Life - Live X Factor Performance,4.507.057,1.102
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.367.846,195
110,Best Song Ever - Jump Smokers Remix,4.183.108,409
111,I Want - Live,4.096.335,714
112,Live While We're Young - Dave Aude Remix,3.636.202,240
113,One Way or Another (Teenage Kicks) - Instrumental,2.358.358,301
114,You & I - Duet Version,2.313.073,337
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.196.243,267
116,What Makes You Beautiful - Live,2.193.488,1.073
117,More Than This - Live,1.761.821,768
118,Up All Night - Live,1.487.835,650
119,Gotta Be You - Live,1.304.400,492
120,Best Song Ever - WestFunk & Steve Smart Remix,1.293.120,181
121,Gotta Be You - Steve Smart & Westfunk Remix,534.429,197
122,Gotta Be You - Mojam Remix,451.082,154
123,Kiss You - Sharoque Remix,439.606,193
