Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.092.018.681,1.371.914
2,Story of My Life,1.611.661.448,932.843
3,What Makes You Beautiful,1.554.150.318,901.630
4,Drag Me Down,1.263.419.124,327.703
5,Perfect,1.048.361.115,505.463
6,Steal My Girl,983.767.007,673.637
7,18,783.210.588,346.509
8,You & I,706.895.085,468.639
9,Best Song Ever,678.988.879,263.596
10,Little Things,669.530.732,156.452
11,History,625.935.869,126.458
12,They Don't Know About Us,610.886.573,160.148
13,Right Now,536.886.933,307.322
14,Kiss You,474.490.619,142.360
15,Live While We're Young,446.889.251,163.327
16,One Thing,416.875.119,197.007
17,Strong,356.616.979,158.114
18,No Control,326.894.063,100.924
19,If I Could Fly,298.088.171,55.559
20,Olivia,297.793.987,60.445
21,Infinity,249.109.879,52.036
22,Stockholm Syndrome,248.338.629,79.912
23,Midnight Memories,247.534.715,68.453
24,Love You Goodbye,224.892.776,52.142
25,Fool's Gold,210.797.086,55.077
26,Where Do Broken Hearts Go,208.553.914,67.611
27,Fireproof,204.262.346,68.068
28,A.M.,202.107.937,39.600
29,Half a Heart,199.457.934,36.912
30,What a Feeling,197.194.636,63.395
31,One Way or Another (Teenage Kicks),192.777.166,55.432
32,End of the Day,185.012.015,35.578
33,Happily,180.899.532,42.996
34,Over Again,179.022.143,40.997
35,More Than This,178.038.072,44.727
36,Walking in the Wind,173.403.573,55.460
37,Last First Kiss,161.208.040,41.690
38,Rock Me,161.016.577,42.069
39,Diana,160.576.006,40.674
40,Ready to Run,156.143.046,48.543
41,Temporary Fix,148.472.830,38.297
42,Girl Almighty,146.467.818,38.881
43,Up All Night,139.640.685,37.694
44,Gotta Be You,135.400.748,37.112
45,Wolves,134.415.006,31.090
46,I Would,128.709.209,38.571
47,Never Enough,127.158.869,24.648
48,I Want to Write You a Song,125.372.406,25.332
49,Don't Forget Where You Belong,120.801.123,29.901
50,C'mon C'mon,115.808.066,37.601
51,She's Not Afraid,115.435.277,33.641
52,Through the Dark,114.613.903,37.987
53,Hey Angel,114.034.936,26.451
54,Moments,113.160.141,30.307
55,Act My Age,105.513.452,23.536
56,Home,105.184.860,22.832
57,Heart Attack,101.872.806,23.349
58,I Wish,97.964.366,23.958
59,Better Than Words,96.553.840,24.040
60,Long Way Down,94.119.651,20.114
61,Clouds,94.043.717,23.414
62,Taken,93.889.120,22.060
63,Nobody Compares,91.788.990,26.154
64,Little White Lies,91.410.268,22.802
65,Spaces,91.349.601,20.925
66,Still The One,89.227.338,26.302
67,Little Black Dress,88.401.595,21.253
68,Change My Mind,86.881.487,20.794
69,Summer Love,86.307.911,17.648
70,I Want,81.748.780,20.148
71,Once in a Lifetime,79.882.405,17.642
72,Does He Know?,79.662.582,20.120
73,Why Don't We Go There,78.184.957,19.332
74,Change Your Ticket,76.488.807,22.087
75,Back For You,73.592.929,16.994
76,Loved You First,71.089.336,18.147
77,Something Great,70.064.958,16.526
78,Stand Up,69.929.548,17.485
79,Same Mistakes,69.309.600,16.393
80,Magic,68.610.382,30.451
81,Alive,68.158.676,16.414
82,Illusion,66.589.331,15.145
83,Tell Me a Lie,66.135.722,16.701
84,Stole My Heart,65.161.001,18.423
85,Na Na Na,63.449.188,17.810
86,Everything About You,57.800.472,14.463
87,I Should Have Kissed You,57.645.195,18.132
88,Save You Tonight,53.248.618,12.910
89,Night Changes - Live Acoustic Session,44.112.706,9.864
90,Truly Madly Deeply,43.256.289,18.063
91,Irresistible,39.241.883,17.503
92,Another World,34.725.122,10.384
93,One Thing - Acoustic,33.509.326,8.065
94,You & I - Piano Version,31.225.291,4.071
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.764.703,8.495
96,Steal My Girl - Acoustic Version,24.464.085,4.369
97,You & I - Radio Edit,20.449.350,1.533
98,Perfect (feat. Matoma) - Matoma Remix,19.622.035,844
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.547.305,290
100,Steal My Girl - Live Acoustic Session,11.621.150,1.247
101,Best Song Ever - Kat Krazy Remix,8.447.810,982
102,Night Changes - Afterhrs Remix,8.159.338,722
103,You & I - Big Payno Remix,7.118.957,375
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.706.338,550
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.351.276,2.515
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.773.788,1.184
107,Live While We're Young - The Jump Smokers Remix,4.567.748,299
108,Story of My Life - Live X Factor Performance,4.476.019,1.146
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.361.861,223
110,Best Song Ever - Jump Smokers Remix,4.170.990,423
111,I Want - Live,4.075.490,756
112,Live While We're Young - Dave Aude Remix,3.629.455,234
113,One Way or Another (Teenage Kicks) - Instrumental,2.350.312,306
114,You & I - Duet Version,2.303.996,321
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.188.190,301
116,What Makes You Beautiful - Live,2.165.227,961
117,More Than This - Live,1.740.755,762
118,Up All Night - Live,1.468.754,687
119,Gotta Be You - Live,1.289.181,603
120,Best Song Ever - WestFunk & Steve Smart Remix,1.288.095,194
121,Gotta Be You - Steve Smart & Westfunk Remix,529.604,186
122,Gotta Be You - Mojam Remix,447.016,157
123,Kiss You - Sharoque Remix,434.436,174
