Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.093.432.788,1.414.107
2,Story of My Life,1.612.609.766,948.318
3,What Makes You Beautiful,1.555.006.465,856.147
4,Drag Me Down,1.263.756.574,337.450
5,Perfect,1.048.843.604,482.489
6,Steal My Girl,984.421.376,654.369
7,18,783.546.272,335.684
8,You & I,707.353.346,458.261
9,Best Song Ever,679.261.355,272.476
10,Little Things,669.690.223,159.491
11,History,626.067.017,131.148
12,They Don't Know About Us,611.045.105,158.532
13,Right Now,537.199.644,312.711
14,Kiss You,474.632.872,142.253
15,Live While We're Young,447.051.527,162.276
16,One Thing,417.076.546,201.427
17,Strong,356.782.879,165.900
18,No Control,326.995.039,100.976
19,If I Could Fly,298.141.436,53.265
20,Olivia,297.855.531,61.544
21,Infinity,249.162.833,52.954
22,Stockholm Syndrome,248.420.761,82.132
23,Midnight Memories,247.603.862,69.147
24,Love You Goodbye,224.946.592,53.816
25,Fool's Gold,210.853.326,56.240
26,Where Do Broken Hearts Go,208.622.057,68.143
27,Fireproof,204.337.200,74.854
28,A.M.,202.148.097,40.160
29,Half a Heart,199.495.321,37.387
30,What a Feeling,197.264.667,70.031
31,One Way or Another (Teenage Kicks),192.832.524,55.358
32,End of the Day,185.048.279,36.264
33,Happily,180.941.697,42.165
34,Over Again,179.063.267,41.124
35,More Than This,178.084.897,46.825
36,Walking in the Wind,173.464.688,61.115
37,Last First Kiss,161.251.431,43.391
38,Rock Me,161.060.228,43.651
39,Diana,160.621.000,44.994
40,Ready to Run,156.191.530,48.484
41,Temporary Fix,148.510.919,38.089
42,Girl Almighty,146.508.924,41.106
43,Up All Night,139.679.346,38.661
44,Gotta Be You,135.439.414,38.666
45,Wolves,134.447.713,32.707
46,I Would,128.749.856,40.647
47,Never Enough,127.184.332,25.463
48,I Want to Write You a Song,125.397.913,25.507
49,Don't Forget Where You Belong,120.832.952,31.829
50,C'mon C'mon,115.847.066,39.000
51,She's Not Afraid,115.469.878,34.601
52,Through the Dark,114.654.745,40.842
53,Hey Angel,114.062.287,27.351
54,Moments,113.192.077,31.936
55,Act My Age,105.538.921,25.469
56,Home,105.208.236,23.376
57,Heart Attack,101.895.815,23.009
58,I Wish,97.989.743,25.377
59,Better Than Words,96.578.765,24.925
60,Long Way Down,94.140.201,20.550
61,Clouds,94.067.198,23.481
62,Taken,93.911.814,22.694
63,Nobody Compares,91.813.825,24.835
64,Little White Lies,91.433.344,23.076
65,Spaces,91.371.678,22.077
66,Still The One,89.253.167,25.829
67,Little Black Dress,88.422.494,20.899
68,Change My Mind,86.903.111,21.624
69,Summer Love,86.326.608,18.697
70,I Want,81.769.142,20.362
71,Once in a Lifetime,79.901.894,19.489
72,Does He Know?,79.683.180,20.598
73,Why Don't We Go There,78.205.519,20.562
74,Change Your Ticket,76.510.765,21.958
75,Back For You,73.610.776,17.847
76,Loved You First,71.108.357,19.021
77,Something Great,70.083.011,18.053
78,Stand Up,69.947.543,17.995
79,Same Mistakes,69.326.299,16.699
80,Magic,68.641.956,31.574
81,Alive,68.175.161,16.485
82,Illusion,66.604.724,15.393
83,Tell Me a Lie,66.153.478,17.756
84,Stole My Heart,65.180.432,19.431
85,Na Na Na,63.467.757,18.569
86,Everything About You,57.814.926,14.454
87,I Should Have Kissed You,57.663.341,18.146
88,Save You Tonight,53.261.757,13.139
89,Night Changes - Live Acoustic Session,44.123.822,11.116
90,Truly Madly Deeply,43.274.643,18.354
91,Irresistible,39.259.561,17.678
92,Another World,34.735.749,10.627
93,One Thing - Acoustic,33.517.706,8.380
94,You & I - Piano Version,31.229.326,4.035
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.773.534,8.831
96,Steal My Girl - Acoustic Version,24.468.813,4.728
97,You & I - Radio Edit,20.450.926,1.576
98,Perfect (feat. Matoma) - Matoma Remix,19.622.854,819
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.547.642,337
100,Steal My Girl - Live Acoustic Session,11.622.465,1.315
101,Best Song Ever - Kat Krazy Remix,8.448.808,998
102,Night Changes - Afterhrs Remix,8.160.034,696
103,You & I - Big Payno Remix,7.119.321,364
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.706.933,595
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.353.675,2.399
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.774.896,1.108
107,Live While We're Young - The Jump Smokers Remix,4.568.039,291
108,Story of My Life - Live X Factor Performance,4.477.125,1.106
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.362.061,200
110,Best Song Ever - Jump Smokers Remix,4.171.413,423
111,I Want - Live,4.076.269,779
112,Live While We're Young - Dave Aude Remix,3.629.699,244
113,One Way or Another (Teenage Kicks) - Instrumental,2.350.648,336
114,You & I - Duet Version,2.304.351,355
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.188.520,330
116,What Makes You Beautiful - Live,2.166.215,988
117,More Than This - Live,1.741.491,736
118,Up All Night - Live,1.469.418,664
119,Gotta Be You - Live,1.289.749,568
120,Best Song Ever - WestFunk & Steve Smart Remix,1.288.276,181
121,Gotta Be You - Steve Smart & Westfunk Remix,529.777,173
122,Gotta Be You - Mojam Remix,447.172,156
123,Kiss You - Sharoque Remix,434.602,166
