Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.129.654.602,1.248.052
2,Story of My Life,1.635.711.794,798.873
3,What Makes You Beautiful,1.577.804.743,785.149
4,Drag Me Down,1.272.067.266,279.993
5,Perfect,1.062.071.973,470.497
6,Steal My Girl,1.001.726.071,591.914
7,18,792.898.102,419.918
8,You & I,718.550.313,364.761
9,Best Song Ever,686.594.816,307.651
10,Little Things,673.694.385,135.343
11,History,629.407.674,111.460
12,They Don't Know About Us,615.202.198,147.986
13,Right Now,545.994.980,437.089
14,Kiss You,478.377.817,127.279
15,Live While We're Young,451.409.138,155.468
16,One Thing,422.880.590,146.099
17,Strong,361.034.743,161.491
18,No Control,329.503.304,83.990
19,If I Could Fly,299.420.898,42.486
20,Olivia,299.378.315,52.468
21,Stockholm Syndrome,250.481.611,66.275
22,Infinity,250.423.531,42.500
23,Midnight Memories,249.322.531,55.725
24,Love You Goodbye,226.185.487,40.723
25,Fool's Gold,212.242.244,47.320
26,Where Do Broken Hearts Go,210.340.997,57.399
27,Fireproof,206.083.648,57.949
28,A.M.,203.115.172,32.559
29,Half a Heart,200.431.275,31.881
30,What a Feeling,198.802.310,50.433
31,One Way or Another (Teenage Kicks),194.180.875,44.854
32,End of the Day,185.917.357,29.170
33,Happily,182.076.049,38.218
34,Over Again,180.051.590,32.811
35,More Than This,179.226.282,37.105
36,Walking in the Wind,174.879.659,48.092
37,Last First Kiss,162.311.737,35.903
38,Rock Me,162.108.948,38.692
39,Diana,161.754.262,39.080
40,Ready to Run,157.391.176,39.369
41,Temporary Fix,149.444.664,31.974
42,Girl Almighty,147.529.920,34.047
43,Up All Night,140.680.941,34.429
44,Gotta Be You,136.398.987,32.579
45,Wolves,135.256.811,27.467
46,I Would,129.735.148,32.092
47,Never Enough,127.815.802,21.192
48,I Want to Write You a Song,125.993.027,20.525
49,Don't Forget Where You Belong,121.580.852,25.113
50,C'mon C'mon,116.836.076,31.905
51,She's Not Afraid,116.321.738,28.581
52,Through the Dark,115.643.390,32.316
53,Hey Angel,114.742.295,24.323
54,Moments,113.948.533,25.026
55,Act My Age,106.151.516,21.173
56,Home,105.771.131,18.538
57,Heart Attack,102.489.601,20.584
58,I Wish,98.629.272,20.341
59,Better Than Words,97.202.189,19.645
60,Clouds,94.672.300,20.140
61,Long Way Down,94.644.264,17.467
62,Taken,94.470.730,18.994
63,Nobody Compares,92.446.794,20.280
64,Little White Lies,92.044.992,20.037
65,Spaces,91.886.374,17.077
66,Still The One,89.910.256,22.433
67,Little Black Dress,88.961.597,18.550
68,Change My Mind,87.420.293,17.311
69,Summer Love,86.766.502,14.630
70,I Want,82.261.336,16.332
71,Once in a Lifetime,80.344.529,14.745
72,Does He Know?,80.206.570,17.416
73,Why Don't We Go There,78.713.780,17.416
74,Change Your Ticket,77.067.241,17.852
75,Back For You,74.063.488,16.642
76,Loved You First,71.562.283,15.198
77,Something Great,70.503.703,13.844
78,Stand Up,70.391.926,15.402
79,Same Mistakes,69.733.158,13.366
80,Magic,69.456.910,28.764
81,Alive,68.594.094,14.431
82,Illusion,66.995.658,13.241
83,Tell Me a Lie,66.584.014,14.458
84,Stole My Heart,65.649.060,15.993
85,Na Na Na,63.922.357,15.816
86,Everything About You,58.168.231,12.026
87,I Should Have Kissed You,58.107.888,14.732
88,Save You Tonight,53.586.837,11.076
89,Night Changes - Live Acoustic Session,44.397.235,8.826
90,Truly Madly Deeply,43.701.694,14.528
91,Irresistible,39.678.033,14.440
92,Another World,34.982.955,8.240
93,One Thing - Acoustic,33.722.131,7.207
94,You & I - Piano Version,31.324.790,3.331
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.988.141,7.210
96,Steal My Girl - Acoustic Version,24.578.081,3.546
97,You & I - Radio Edit,20.489.025,1.175
98,Perfect (feat. Matoma) - Matoma Remix,19.643.036,655
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.555.569,251
100,Steal My Girl - Live Acoustic Session,11.654.763,1.115
101,Best Song Ever - Kat Krazy Remix,8.473.576,833
102,Night Changes - Afterhrs Remix,8.177.541,598
103,You & I - Big Payno Remix,7.127.172,264
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.720.507,456
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.415.064,2.018
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.804.445,1.053
107,Live While We're Young - The Jump Smokers Remix,4.575.165,226
108,Story of My Life - Live X Factor Performance,4.504.835,947
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.367.460,178
110,Best Song Ever - Jump Smokers Remix,4.182.263,362
111,I Want - Live,4.094.872,774
112,Live While We're Young - Dave Aude Remix,3.635.719,209
113,One Way or Another (Teenage Kicks) - Instrumental,2.357.775,208
114,You & I - Duet Version,2.312.392,342
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.195.709,207
116,What Makes You Beautiful - Live,2.191.394,871
117,More Than This - Live,1.760.260,691
118,Up All Night - Live,1.486.491,547
119,Gotta Be You - Live,1.303.370,462
120,Best Song Ever - WestFunk & Steve Smart Remix,1.292.731,148
121,Gotta Be You - Steve Smart & Westfunk Remix,534.031,160
122,Gotta Be You - Mojam Remix,450.783,124
123,Kiss You - Sharoque Remix,43.923,157
