Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.130.980.296,1.325.694
2,Story of My Life,1.636.612.503,900.709
3,What Makes You Beautiful,1.578.658.008,853.265
4,Drag Me Down,1.272.374.080,306.814
5,Perfect,1.062.571.473,499.500
6,Steal My Girl,1.002.388.351,662.280
7,18,793.307.533,409.431
8,You & I,718.955.374,405.061
9,Best Song Ever,686.934.096,339.280
10,Little Things,673.848.731,154.346
11,History,629.526.260,118.586
12,They Don't Know About Us,615.365.675,163.477
13,Right Now,546.433.712,438.732
14,Kiss You,478.519.776,141.959
15,Live While We're Young,451.581.663,172.525
16,One Thing,423.044.598,164.008
17,Strong,361.198.891,164.148
18,No Control,329.596.971,93.667
19,If I Could Fly,299.470.066,49.168
20,Olivia,299.436.617,58.302
21,Stockholm Syndrome,250.555.250,73.639
22,Infinity,250.471.697,48.166
23,Midnight Memories,249.384.323,61.792
24,Love You Goodbye,226.231.714,46.227
25,Fool's Gold,212.294.968,52.724
26,Where Do Broken Hearts Go,210.406.706,65.709
27,Fireproof,206.152.529,68.881
28,A.M.,203.151.928,36.756
29,Half a Heart,200.467.755,36.480
30,What a Feeling,198.860.593,58.283
31,One Way or Another (Teenage Kicks),194.229.249,48.374
32,End of the Day,185.950.487,33.130
33,Happily,182.120.992,44.943
34,Over Again,180.088.900,37.310
35,More Than This,179.269.445,43.163
36,Walking in the Wind,174.934.074,54.415
37,Last First Kiss,162.352.686,40.949
38,Rock Me,162.148.318,39.370
39,Diana,161.798.670,44.408
40,Ready to Run,157.435.464,44.288
41,Temporary Fix,149.480.267,35.603
42,Girl Almighty,147.568.014,38.094
43,Up All Night,140.718.958,38.017
44,Gotta Be You,136.435.629,36.642
45,Wolves,135.288.603,31.792
46,I Would,129.770.868,35.720
47,Never Enough,127.839.898,24.096
48,I Want to Write You a Song,126.016.259,23.232
49,Don't Forget Where You Belong,121.609.910,29.058
50,C'mon C'mon,116.872.361,36.285
51,She's Not Afraid,116.354.273,32.535
52,Through the Dark,115.680.035,36.645
53,Hey Angel,114.769.733,27.438
54,Moments,113.977.852,29.319
55,Act My Age,106.176.184,24.668
56,Home,105.792.662,21.531
57,Heart Attack,102.512.971,23.370
58,I Wish,98.652.269,22.997
59,Better Than Words,97.224.853,22.664
60,Clouds,94.694.817,22.517
61,Long Way Down,94.664.716,20.452
62,Taken,94.492.443,21.713
63,Nobody Compares,92.470.202,23.408
64,Little White Lies,92.067.930,22.938
65,Spaces,91.906.317,19.943
66,Still The One,89.938.175,27.919
67,Little Black Dress,88.982.465,20.868
68,Change My Mind,87.440.835,20.542
69,Summer Love,86.783.273,16.771
70,I Want,82.280.045,18.709
71,Once in a Lifetime,80.362.045,17.516
72,Does He Know?,80.227.547,20.977
73,Why Don't We Go There,78.733.536,19.756
74,Change Your Ticket,77.087.393,20.152
75,Back For You,74.082.353,18.865
76,Loved You First,71.579.757,17.474
77,Something Great,70.519.646,15.943
78,Stand Up,70.409.670,17.744
79,Same Mistakes,69.748.788,15.630
80,Magic,69.489.750,32.840
81,Alive,68.610.708,16.614
82,Illusion,67.011.213,15.555
83,Tell Me a Lie,66.600.806,16.792
84,Stole My Heart,65.667.183,18.123
85,Na Na Na,63.940.441,18.084
86,Everything About You,58.182.096,13.865
87,I Should Have Kissed You,58.125.283,17.395
88,Save You Tonight,53.599.695,12.858
89,Night Changes - Live Acoustic Session,44.407.784,10.549
90,Truly Madly Deeply,43.718.897,17.203
91,Irresistible,39.694.472,16.439
92,Another World,34.992.550,9.595
93,One Thing - Acoustic,33.730.071,7.940
94,You & I - Piano Version,31.328.586,3.796
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.996.454,8.313
96,Steal My Girl - Acoustic Version,24.582.340,4.259
97,You & I - Radio Edit,20.490.542,1.517
98,Perfect (feat. Matoma) - Matoma Remix,19.643.751,715
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.555.883,314
100,Steal My Girl - Live Acoustic Session,11.656.053,129
101,Best Song Ever - Kat Krazy Remix,8.474.501,925
102,Night Changes - Afterhrs Remix,8.178.230,689
103,You & I - Big Payno Remix,7.127.512,340
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.721.042,535
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.417.375,2.311
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.805.628,1.183
107,Live While We're Young - The Jump Smokers Remix,4.575.483,318
108,Story of My Life - Live X Factor Performance,4.505.955,1.120
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.367.651,191
110,Best Song Ever - Jump Smokers Remix,4.182.699,436
111,I Want - Live,4.095.621,749
112,Live While We're Young - Dave Aude Remix,3.635.962,243
113,One Way or Another (Teenage Kicks) - Instrumental,2.358.057,282
114,You & I - Duet Version,2.312.736,344
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.195.976,267
116,What Makes You Beautiful - Live,2.192.415,1.021
117,More Than This - Live,1.761.053,793
118,Up All Night - Live,1.487.185,694
119,Gotta Be You - Live,1.303.908,538
120,Best Song Ever - WestFunk & Steve Smart Remix,1.292.939,208
121,Gotta Be You - Steve Smart & Westfunk Remix,534.232,201
122,Gotta Be You - Mojam Remix,450.928,145
123,Kiss You - Sharoque Remix,439.413,183
